log_id,event_time_raw,incident_type_raw,location_raw,severity_raw,reported_by
INC-100086,24-May-2026 13:29,CYBER,Zone I,High,Auto-Sensor
INC-100087,2026-06-05 02:11,Physical Security,Zone C,,Field Officer
INC-100088,2026-06-13 08:19,PHYSICAL BREACH,Zone G,4,Auto-Sensor
INC-100089,18-Jul-2026 20:22,INTRUSION,Zone D,High,Field Officer
INC-100090,05/10/2026 01:13,perimeter breach,Zone F,Medium,
INC-100091,06/05/2026 06:49,env. hazard,Zone J,Medium,Hotline
INC-100092,07/12/2026 08:39,Intrusion,Zone D,Critical,
INC-100093,07-Jul-2026 12:03,ENVIRONMENTAL,Zone F,Low,Field Officer
INC-100094,05/11/2026 16:34,Cyber Incident,Zone E,High,
INC-100095,05/22/2026 06:28,phishing attempt,Zone B,,Auto-Sensor
INC-100096,05/30/2026 06:51,INTRUSION,Zone A,Medium,
INC-100097,2026-07-07 09:42,intrusion detected,Zone A,Critical,Auto-Sensor
INC-100098,06/02/2026 11:46,phishing attempt,Zone H,Critical,Auto-Sensor
INC-100099,07/05/2026 01:20,Intrusion Attempt,Zone A,Low,Field Officer
INC-100100,02-Jun-2026 10:13,unauthorized-access,Zone B,Low,
INC-100101,2026-05-24 20:57,intrusion detected,Zone E,High,SOC Analyst
INC-100102,2026-07-14 00:07,Intrusion,Zone D,Critical,Field Officer
INC-100103,05/15/2026 10:37,perimeter breach,Zone F,Low,
INC-100104,2026-06-22 22:12,phishing attempt,Zone A,High,
INC-100105,22-Jun-2026 08:46,intrusion detected,Zone A,Low,
INC-100106,23-May-2026 07:19,env. hazard,,,Auto-Sensor
INC-100107,06/23/2026 18:39,Cyber Incident,Zone C,High,
INC-100108,07/07/2026 08:22,Intrusion,Zone I,High,Field Officer
INC-100109,06/05/2026 17:51,env. hazard,Zone G,Low,SOC Analyst
INC-100110,06/17/2026 04:16,PHYSICAL BREACH,,Medium,Field Officer
INC-100111,07/18/2026 17:40,env. hazard,Zone E,Critical,SOC Analyst
INC-100112,2026-07-22 05:04,env. hazard,Zone I,Medium,Auto-Sensor
INC-100113,23-May-2026 18:56,unauthorized-access,Zone F,Critical,SOC Analyst
INC-100114,06/14/2026 02:54,Intrusion,Zone G,3,Field Officer
INC-100115,05/06/2026 04:16,weather alert,,High,Auto-Sensor
INC-100116,01-Jun-2026 10:42,perimeter breach,Zone J,High,Auto-Sensor
INC-100117,04-Jul-2026 04:22,cyber-intrusion,Zone B,Low,Auto-Sensor
INC-100118,28-May-2026 23:33,unauthorized-access,Zone I,Medium,
INC-100119,2026-06-10 01:51,PHYSICAL BREACH,Zone H,Low,Auto-Sensor
INC-100120,13-Jul-2026 05:36,INTRUSION,Zone A,High,Field Officer
INC-100121,2026-05-18 08:44,unclassified,Zone A,High,Field Officer
INC-100122,15-Jun-2026 01:23,env. hazard,Zone F,Critical,Auto-Sensor
INC-100123,04-May-2026 20:35,weather alert,Zone A,High,SOC Analyst
INC-100124,05/20/2026 08:33,unauthorized-access,Zone D,Critical,Field Officer
INC-100125,2026-06-10 23:27,N/A,Zone E,Medium,SOC Analyst
INC-100126,2026-04-30 03:10,cyber-intrusion,,High,Field Officer
INC-100127,26-Jun-2026 18:19,malware detected,Zone J,Critical,Field Officer
INC-100128,25-Jul-2026 13:26,cyber-intrusion,Zone F,Low,Field Officer
INC-100129,06/23/2026 21:49,Intrusion Attempt,,Medium,Hotline
INC-100130,06/05/2026 06:46,Cyber Incident,Zone I,High,SOC Analyst
INC-100131,2026-05-08 19:49,unclassified,Zone E,Low,Auto-Sensor
INC-100132,06/22/2026 20:10,Intrusion Attempt,Zone D,Medium,Field Officer
INC-100133,2026-06-10 11:55,unauthorized-access,Zone B,High,Field Officer
INC-100134,20-Jun-2026 17:28,Intrusion,Zone E,,Hotline
INC-100135,2026-07-05 19:06,Environmental Risk,,Low,Hotline
INC-100136,06/11/2026 20:32,physical breach,Zone H,High,Field Officer
INC-100137,2026-05-13 11:08,perimeter breach,,Low,Auto-Sensor
INC-100138,22-Jun-2026 11:13,Cyber Incident,Zone D,Low,Auto-Sensor
INC-100139,05/28/2026 19:45,INTRUSION,Zone F,Medium,Hotline
INC-100140,2026-05-18 21:32,perimeter breach,Zone I,Medium,Field Officer
INC-100141,11-May-2026 23:26,malware detected,Zone I,Critical,SOC Analyst
INC-100142,2026-07-12 11:51,misc incident,Zone I,Low,SOC Analyst
INC-100143,2026-07-19 23:06,Intrusion Attempt,Zone A,Low,
INC-100144,06/03/2026 22:21,unauthorized-access,Zone G,Medium,
INC-100145,18-Jun-2026 10:44,malware detected,Zone H,Critical,SOC Analyst
INC-100146,2026-06-01 09:39,weather alert,,Medium,Auto-Sensor
INC-100147,06/08/2026 07:56,unclassified,Zone E,Medium,
INC-100148,07/05/2026 08:13,perimeter breach,Zone F,Medium,SOC Analyst
INC-100149,06-Jun-2026 17:08,Intrusion Attempt,Zone A,High,Field Officer
INC-100150,06/01/2026 19:30,INTRUSION,Zone D,Medium,Field Officer
INC-100151,07/06/2026 16:22,PHYSICAL BREACH,Zone J,Low,SOC Analyst
INC-100152,07/27/2026 16:09,perimeter breach,Zone H,Low,Hotline
INC-100153,06/04/2026 21:34,unauthorized-access,,High,Hotline
INC-100154,07/06/2026 03:13,unauthorized-access,,Medium,Hotline
INC-100155,2026-05-21 18:12,unclassified,Zone F,,Hotline
INC-100156,11-Jun-2026 22:47,cyber-intrusion,Zone H,Critical,Auto-Sensor
INC-100157,2026-05-29 14:19,INTRUSION,Zone I,Low,Field Officer
INC-100158,07/05/2026 04:50,INTRUSION,Zone A,4,
INC-100159,2026-06-07 21:12,phishing attempt,Zone H,,Auto-Sensor
INC-100160,26-Jun-2026 21:11,unauthorized-access,Zone D,Low,
INC-100161,05/18/2026 23:01,unauthorized-access,Zone C,Low,SOC Analyst
INC-100162,2026-07-02 21:25,PHYSICAL BREACH,Zone B,Critical,Field Officer
INC-100163,2026-06-28 02:32,cyber-intrusion,,High,Auto-Sensor
INC-100164,07/03/2026 22:44,phishing attempt,Zone G,Low,SOC Analyst
INC-100165,18-Jul-2026 07:04,INTRUSION,Zone J,Critical,
INC-100166,2026-05-22 10:38,intrusion detected,,,
INC-100167,2026-05-20 22:51,perimeter breach,Zone E,Low,Field Officer
INC-100168,02-Jul-2026 10:49,cyber-intrusion,Zone G,3,
INC-100169,18-Jul-2026 23:19,perimeter breach,Zone F,Low,Field Officer
INC-100170,16-May-2026 01:23,phishing attempt,Zone A,High,SOC Analyst
INC-100171,13-Jun-2026 15:26,Other,Zone C,Low,SOC Analyst
INC-100172,27-May-2026 09:41,phishing attempt,Zone I,High,SOC Analyst
INC-100173,17-May-2026 09:49,Intrusion,,High,SOC Analyst
INC-100174,06/11/2026 23:23,Intrusion,Zone F,High,Auto-Sensor
INC-100175,05/04/2026 12:15,unauthorized-access,Zone I,High,Auto-Sensor
INC-100176,07/27/2026 07:51,unauthorized-access,,,
INC-100177,2026-06-12 17:27,ENVIRONMENTAL,Zone G,Medium,
INC-100178,2026-07-05 17:38,Cyber Incident,,Low,Auto-Sensor
INC-100179,07/10/2026 16:32,perimeter breach,Zone J,Medium,SOC Analyst
INC-100180,2026-06-06 14:04,cyber-intrusion,,,SOC Analyst
INC-100181,18-Jul-2026 15:48,intrusion detected,Zone F,3,Auto-Sensor
INC-100182,05/23/2026 21:03,malware detected,Zone C,High,
INC-100183,25-May-2026 13:07,intrusion detected,,Low,
INC-100184,21-Jul-2026 00:16,INTRUSION,Zone C,High,Auto-Sensor
INC-100185,06/06/2026 02:25,Intrusion Attempt,Zone E,Medium,Auto-Sensor
INC-100186,07/22/2026 11:42,Intrusion Attempt,Zone I,Medium,Hotline
INC-100187,18-Jul-2026 11:23,Cyber Incident,Zone H,Low,Hotline
INC-100188,14-Jul-2026 03:00,Intrusion Attempt,Zone D,4,Field Officer
INC-100189,2026-04-30 16:09,Intrusion Attempt,Zone G,High,Field Officer
INC-100190,05/08/2026 07:34,env. hazard,Zone J,High,Field Officer
INC-100191,05/11/2026 04:32,Cyber Incident,,Medium,
INC-100192,2026-07-11 12:44,cyber-intrusion,Zone J,Critical,
INC-100193,05/22/2026 19:59,malware detected,Zone J,Critical,Field Officer
INC-100194,16-Jun-2026 04:49,malware detected,Zone G,3,Hotline
INC-100195,10-Jun-2026 04:27,perimeter breach,,High,Auto-Sensor
INC-100196,2026-07-18 09:37,N/A,Zone A,,Field Officer
INC-100197,2026-06-22 10:04,Cyber Incident,Zone B,Medium,Field Officer
INC-100198,2026-06-15 08:39,Cyber Incident,Zone J,4,
INC-100199,05/28/2026 16:34,Intrusion Attempt,Zone A,Low,
INC-100200,2026-06-07 20:44,Physical Security,Zone J,Medium,Auto-Sensor
INC-100201,18-Jul-2026 23:04,INTRUSION,Zone H,Low,Field Officer
INC-100202,06-Jul-2026 12:01,Cyber Incident,Zone I,3,Field Officer
INC-100203,05/04/2026 22:35,misc incident,Zone A,Low,Hotline
INC-100204,25-May-2026 20:15,ENVIRONMENTAL,Zone J,3,Field Officer
INC-100205,2026-05-04 02:42,INTRUSION,,High,Auto-Sensor
INC-100206,06/04/2026 15:12,Intrusion Attempt,Zone C,Medium,
INC-100207,11-Jul-2026 06:32,phishing attempt,Zone A,Medium,Hotline
INC-100208,04-Jul-2026 02:05,Environmental Risk,Zone H,Low,SOC Analyst
INC-100209,06/07/2026 10:23,Cyber Incident,Zone B,Medium,
INC-100210,2026-06-07 09:17,ENVIRONMENTAL,Zone I,High,Hotline
INC-100211,2026-07-11 02:29,unclassified,Zone A,3,SOC Analyst
INC-100212,07/26/2026 07:20,phishing attempt,Zone G,Low,Auto-Sensor
INC-100213,08-Jul-2026 07:03,N/A,Zone D,Low,Auto-Sensor
INC-100214,05/24/2026 21:40,Intrusion,Zone F,Medium,
INC-100215,04-Jun-2026 01:38,unclassified,Zone C,High,SOC Analyst
INC-100216,09-Jul-2026 11:47,Intrusion Attempt,Zone G,4,SOC Analyst
INC-100217,2026-06-03 19:15,CYBER,Zone B,Low,
INC-100218,2026-05-05 04:44,cyber-intrusion,Zone D,3,Field Officer
INC-100219,2026-07-18 21:56,unauthorized-access,Zone D,,Auto-Sensor
INC-100220,29-May-2026 18:32,cyber-intrusion,,,Field Officer
INC-100221,07/02/2026 14:51,weather alert,,Critical,SOC Analyst
INC-100222,2026-06-23 03:40,Other,Zone G,High,
INC-100223,23-Jul-2026 19:17,N/A,Zone C,Medium,Auto-Sensor
INC-100224,2026-07-05 03:03,Intrusion Attempt,Zone A,3,SOC Analyst
INC-100225,2026-06-21 08:40,env. hazard,,High,SOC Analyst
INC-100226,02-Jun-2026 01:10,ENVIRONMENTAL,Zone H,High,Hotline
INC-100227,2026-05-03 13:14,weather alert,,Low,Field Officer
INC-100228,07/17/2026 22:46,physical breach,Zone G,Critical,Auto-Sensor
INC-100229,2026-07-22 10:44,perimeter breach,Zone D,,Hotline
INC-100230,06/05/2026 00:26,unauthorized-access,Zone F,High,Hotline
INC-100231,06/23/2026 09:59,malware detected,Zone H,High,Hotline
INC-100232,21-Jun-2026 09:45,Cyber Incident,Zone D,Medium,
INC-100233,12-May-2026 10:26,perimeter breach,Zone F,Medium,
INC-100234,2026-07-17 14:10,perimeter breach,Zone G,Medium,Hotline
INC-100235,26-Jun-2026 18:57,intrusion detected,Zone J,Critical,Hotline
INC-100236,08-May-2026 15:22,perimeter breach,Zone I,Medium,Auto-Sensor
INC-100237,2026-06-13 06:40,unauthorized-access,,Critical,Hotline
INC-100238,05/28/2026 15:14,Cyber Incident,Zone B,High,Hotline
INC-100239,2026-06-19 03:37,PHYSICAL BREACH,Zone J,High,Hotline
INC-100240,2026-05-09 17:23,INTRUSION,Zone G,High,Auto-Sensor
INC-100241,20-Jul-2026 15:53,intrusion detected,Zone E,High,Auto-Sensor
INC-100242,2026-06-08 09:23,Cyber Incident,Zone G,High,SOC Analyst
INC-100243,25-Jun-2026 07:40,physical breach,Zone D,High,Auto-Sensor
INC-100244,2026-05-01 11:22,Intrusion,Zone F,Medium,SOC Analyst
INC-100245,02-Jun-2026 06:04,malware detected,Zone H,Low,Auto-Sensor
INC-100246,2026-05-27 14:39,env. hazard,Zone B,Medium,Field Officer
INC-100247,2026-06-12 02:07,perimeter breach,Zone E,,Hotline
INC-100248,2026-06-11 08:46,unauthorized-access,Zone G,Medium,Auto-Sensor
INC-100249,2026-05-24 11:49,weather alert,,Critical,Auto-Sensor
INC-100250,29-Apr-2026 23:12,ENVIRONMENTAL,,Critical,
INC-100251,06/26/2026 05:13,perimeter breach,Zone A,Medium,
INC-100252,05/24/2026 09:48,cyber-intrusion,Zone F,Critical,SOC Analyst
INC-100253,05/20/2026 06:39,Cyber Incident,Zone E,Medium,SOC Analyst
INC-100254,2026-06-28 17:46,intrusion detected,Zone F,Medium,SOC Analyst
INC-100255,10-Jul-2026 14:49,N/A,Zone B,Medium,Hotline
INC-100256,07/20/2026 19:49,ENVIRONMENTAL,Zone I,3,Field Officer
INC-100257,05/25/2026 15:40,malware detected,Zone C,Low,Auto-Sensor
INC-100258,06/03/2026 11:47,PHYSICAL BREACH,,High,Auto-Sensor
INC-100259,06/29/2026 14:59,intrusion detected,Zone G,Medium,SOC Analyst
INC-100260,02-May-2026 22:47,env. hazard,,High,Hotline
INC-100261,07/09/2026 14:26,PHYSICAL BREACH,Zone I,Medium,SOC Analyst
INC-100262,05/12/2026 07:18,perimeter breach,Zone C,4,Auto-Sensor
INC-100263,05/11/2026 00:57,ENVIRONMENTAL,Zone J,Medium,Field Officer
INC-100264,08-Jun-2026 02:46,physical breach,Zone E,4,Field Officer
INC-100265,2026-06-16 15:59,CYBER,,Low,Field Officer
INC-100266,28-Jun-2026 00:59,perimeter breach,Zone C,Low,Hotline
INC-100267,26-Jun-2026 07:27,intrusion detected,Zone I,Critical,Auto-Sensor
INC-100268,2026-06-29 11:51,Physical Security,Zone I,,Hotline
INC-100269,2026-07-09 11:04,CYBER,Zone C,Medium,SOC Analyst
INC-100270,24-Jun-2026 05:26,weather alert,,High,Auto-Sensor
INC-100271,2026-05-27 21:23,physical breach,Zone B,Critical,Field Officer
INC-100272,06/16/2026 01:59,PHYSICAL BREACH,Zone I,High,Auto-Sensor
INC-100273,2026-07-03 20:06,INTRUSION,Zone J,Critical,Auto-Sensor
INC-100274,2026-07-22 23:04,unauthorized-access,Zone D,Critical,SOC Analyst
INC-100275,07/21/2026 08:35,perimeter breach,,3,Hotline
INC-100276,2026-05-23 08:53,intrusion detected,Zone B,3,
INC-100277,06/24/2026 15:59,Intrusion,Zone B,High,Hotline
INC-100278,2026-06-14 01:52,CYBER,Zone I,Medium,SOC Analyst
INC-100279,15-May-2026 20:57,physical breach,Zone H,Low,Field Officer
INC-100280,25-Jul-2026 05:39,intrusion detected,Zone C,Medium,Field Officer
INC-100281,2026-05-27 08:21,Environmental Risk,Zone C,Critical,SOC Analyst
INC-100282,05/18/2026 12:28,Intrusion,Zone G,Medium,
INC-100283,2026-07-15 10:49,perimeter breach,Zone B,Medium,
INC-100284,07/26/2026 15:14,weather alert,,High,Hotline
INC-100285,07/13/2026 00:27,unauthorized-access,Zone H,Critical,Auto-Sensor
INC-100286,07/04/2026 19:15,intrusion detected,Zone E,High,Field Officer
INC-100287,24-Jul-2026 15:56,misc incident,Zone A,Medium,Hotline
INC-100288,05/13/2026 08:04,env. hazard,Zone D,Low,Auto-Sensor
INC-100289,2026-05-27 10:19,cyber-intrusion,Zone D,3,Auto-Sensor
INC-100290,05/06/2026 20:03,malware detected,Zone C,3,Hotline
INC-100291,2026-07-06 14:30,unauthorized-access,Zone H,Medium,Auto-Sensor
INC-100292,2026-06-21 01:46,PHYSICAL BREACH,Zone D,Medium,Auto-Sensor
INC-100293,05/28/2026 17:22,malware detected,Zone I,Critical,SOC Analyst
INC-100294,07/09/2026 12:29,CYBER,Zone J,3,
INC-100295,2026-07-11 06:40,phishing attempt,Zone H,Medium,Hotline
INC-100296,18-Jun-2026 06:35,physical breach,Zone A,High,Field Officer
INC-100297,07/05/2026 20:46,intrusion detected,Zone B,Low,
INC-100298,07/09/2026 04:59,PHYSICAL BREACH,Zone C,High,
INC-100299,29-May-2026 07:39,phishing attempt,Zone J,Critical,Auto-Sensor
INC-100300,2026-05-31 17:23,unauthorized-access,,High,Hotline
INC-100301,05/23/2026 08:26,Cyber Incident,Zone E,Medium,Auto-Sensor
INC-100302,06/16/2026 08:25,perimeter breach,Zone A,Medium,Auto-Sensor
INC-100303,2026-05-17 17:00,unclassified,Zone D,Medium,Field Officer
INC-100304,07-Jun-2026 01:53,N/A,Zone C,Medium,Hotline
INC-100305,01-Jun-2026 17:10,Cyber Incident,Zone E,High,Hotline
INC-100306,09-May-2026 00:41,Cyber Incident,Zone I,Medium,Hotline
INC-100307,2026-06-08 13:50,Intrusion Attempt,Zone J,,Auto-Sensor
INC-100308,2026-07-20 05:31,physical breach,Zone H,Low,Hotline
INC-100309,2026-07-13 23:11,phishing attempt,Zone F,Medium,
INC-100310,2026-04-29 17:04,Intrusion Attempt,Zone B,High,Auto-Sensor
INC-100311,06/12/2026 15:28,ENVIRONMENTAL,Zone C,High,Field Officer
INC-100312,2026-05-10 10:03,Intrusion,Zone D,Medium,
INC-100313,2026-05-21 01:46,Intrusion,Zone H,Medium,Field Officer
INC-100314,24-May-2026 05:44,Cyber Incident,Zone I,,Field Officer
INC-100315,07/14/2026 19:25,Physical Security,Zone F,4,Auto-Sensor
INC-100316,30-May-2026 01:42,Cyber Incident,Zone H,Medium,Auto-Sensor
INC-100317,2026-07-22 20:24,Cyber Incident,,Low,
INC-100318,2026-06-18 09:40,N/A,,3,
INC-100319,2026-05-19 04:01,PHYSICAL BREACH,Zone D,Low,
INC-100320,21-May-2026 07:11,INTRUSION,Zone F,Low,SOC Analyst
INC-100321,18-Jul-2026 08:41,PHYSICAL BREACH,Zone E,Medium,Hotline
INC-100322,2026-05-17 20:55,phishing attempt,Zone E,3,Hotline
INC-100323,22-Jul-2026 20:20,INTRUSION,Zone A,Medium,Hotline
INC-100324,2026-06-30 13:42,Other,Zone E,Medium,Hotline
INC-100325,2026-05-02 05:20,misc incident,Zone J,,Field Officer
INC-100326,05/17/2026 00:52,Environmental Risk,Zone B,4,SOC Analyst
INC-100327,07/13/2026 04:08,CYBER,Zone C,Medium,Hotline
INC-100328,06/18/2026 09:03,physical breach,Zone C,3,Field Officer
INC-100329,07/17/2026 19:21,malware detected,Zone A,Medium,Auto-Sensor
INC-100330,21-Jun-2026 23:08,Cyber Incident,,Medium,Auto-Sensor
INC-100331,10-Jul-2026 01:06,weather alert,Zone D,,
INC-100332,21-Jun-2026 17:05,Intrusion Attempt,Zone G,Medium,Auto-Sensor
INC-100333,06-May-2026 12:26,cyber-intrusion,Zone J,4,SOC Analyst
INC-100334,06/03/2026 05:33,Environmental Risk,,Critical,Hotline
INC-100335,05/28/2026 03:27,ENVIRONMENTAL,Zone C,Critical,
INC-100336,2026-05-17 11:47,perimeter breach,Zone I,High,Hotline
INC-100337,05/28/2026 01:31,malware detected,,,SOC Analyst
INC-100338,05/21/2026 23:00,misc incident,Zone G,Low,
INC-100339,11-Jul-2026 01:25,cyber-intrusion,Zone G,Low,Field Officer
INC-100340,2026-07-21 19:49,unclassified,Zone D,Critical,Auto-Sensor
INC-100341,07/16/2026 07:21,perimeter breach,Zone F,Medium,SOC Analyst
INC-100342,06/12/2026 07:22,env. hazard,Zone F,High,Hotline
INC-100343,05/24/2026 16:21,ENVIRONMENTAL,Zone I,Medium,Field Officer
INC-100344,2026-07-27 13:28,Intrusion Attempt,Zone G,High,Hotline
INC-100345,2026-05-06 06:57,malware detected,Zone E,Critical,Hotline
INC-100346,04-May-2026 15:20,Intrusion Attempt,Zone G,Critical,Field Officer
INC-100347,07/20/2026 16:38,cyber-intrusion,Zone F,High,Field Officer
INC-100348,28-May-2026 21:59,weather alert,,Low,SOC Analyst
INC-100349,2026-07-07 07:27,ENVIRONMENTAL,Zone J,3,Field Officer
INC-100350,24-May-2026 00:39,Cyber Incident,,Medium,
INC-100351,07/12/2026 00:14,Physical Security,Zone B,3,Hotline
INC-100352,26-May-2026 21:39,Environmental Risk,Zone H,Medium,Field Officer
INC-100353,07-Jul-2026 06:53,PHYSICAL BREACH,Zone C,Low,SOC Analyst
INC-100354,07/26/2026 18:52,Cyber Incident,Zone F,Low,SOC Analyst
INC-100355,2026-07-05 06:44,INTRUSION,Zone B,4,
INC-100356,07/13/2026 20:44,Physical Security,Zone F,Low,Auto-Sensor
INC-100357,06/12/2026 06:13,unauthorized-access,Zone J,High,SOC Analyst
INC-100358,07/14/2026 16:48,unclassified,,High,SOC Analyst
INC-100359,2026-07-18 18:26,env. hazard,Zone B,,Field Officer
INC-100360,07/18/2026 14:45,ENVIRONMENTAL,Zone D,3,Hotline
INC-100361,2026-04-30 20:14,intrusion detected,,Low,
INC-100362,2026-06-23 07:43,CYBER,Zone J,Medium,Auto-Sensor
INC-100363,2026-05-18 09:51,unauthorized-access,Zone G,High,Auto-Sensor
INC-100364,06/05/2026 22:27,malware detected,Zone G,High,Field Officer
INC-100365,2026-06-24 17:20,Intrusion,Zone E,High,Hotline
