feed_id,reported_time,threat_category_raw,confidence_score,source_name,geo_hint
EXT-400088,2026-07-10T00:00:00,Intrusion,54.0,ThreatWatch Intl,Zone G
EXT-400089,2026-04-29T08:00:00,Physical,61.9,OpenCTI Mirror,Zone A
EXT-400090,2026-07-20T07:00:00,CYBER-related,52.9,CyberSentry Feed,Western Zone
EXT-400091,2026-05-17T14:00:00,CYBER-related,51.8,GlobalIntel API,Zone A
EXT-400092,2026-04-30T10:00:00,Intrusion,86.9,CyberSentry Feed,Eastern Corridor
EXT-400093,2026-06-18T03:00:00,Cyber,56.5,GlobalIntel API,Zone J
EXT-400094,2026-07-05T07:00:00,Intrusion,87.7,OpenCTI Mirror,Zone A
EXT-400095,2026-05-28T00:00:00,Other,52.4,CyberSentry Feed,Zone H
EXT-400096,2026-06-04T11:00:00,Cyber,81.8,GlobalIntel API,Eastern Corridor
EXT-400097,2026-05-16T03:00:00,CYBER-related,67.3,CyberSentry Feed,Zone D
EXT-400098,2026-05-06T06:00:00,Environmental,26.9,CyberSentry Feed,Central Hub
EXT-400099,2026-06-19T17:00:00,intrusion,55.0,GlobalIntel API,Zone C
EXT-400100,2026-07-20T15:00:00,Intrusion,66.3,ThreatWatch Intl,Central Hub
EXT-400101,2026-05-20T01:00:00,Cyber,99.0,ThreatWatch Intl,Central Hub
EXT-400102,2026-05-19T04:00:00,Other,84.7,GlobalIntel API,
EXT-400103,2026-07-12T18:00:00,Intrusion,72.6,ThreatWatch Intl,Northern District
EXT-400104,2026-05-05T08:00:00,Intrusion,48.5,ThreatWatch Intl,Northern District
EXT-400105,2026-06-20T00:00:00,Environmental,79.3,ThreatWatch Intl,Northern District
EXT-400106,2026-06-29T00:00:00,,18.8,OpenCTI Mirror,Eastern Corridor
EXT-400107,2026-06-21T07:00:00,Environmental,99.0,CyberSentry Feed,Northern District
EXT-400108,2026-07-03T03:00:00,Intrusion,64.7,CyberSentry Feed,Eastern Corridor
EXT-400109,2026-05-07T14:00:00,CYBER-related,71.4,OpenCTI Mirror,Eastern Corridor
EXT-400110,2026-07-03T12:00:00,CYBER-related,51.7,GlobalIntel API,Western Zone
EXT-400111,2026-07-19T23:00:00,CYBER-related,60.3,ThreatWatch Intl,Southern Belt
EXT-400112,2026-06-05T17:00:00,,60.8,CyberSentry Feed,Zone I
EXT-400113,2026-05-22T12:00:00,Intrusion,68.2,ThreatWatch Intl,Zone J
EXT-400114,2026-05-23T23:00:00,intrusion,62.5,ThreatWatch Intl,Zone F
EXT-400115,2026-05-20T20:00:00,intrusion,50.7,OpenCTI Mirror,Western Zone
EXT-400116,2026-06-29T04:00:00,Environmental,81.0,ThreatWatch Intl,Central Hub
EXT-400117,2026-06-29T07:00:00,Other,46.0,GlobalIntel API,Eastern Corridor
EXT-400118,2026-06-04T16:00:00,CYBER-related,55.0,ThreatWatch Intl,Zone I
EXT-400119,2026-06-08T16:00:00,,63.3,ThreatWatch Intl,Northern District
EXT-400120,2026-06-18T21:00:00,CYBER-related,74.6,GlobalIntel API,Eastern Corridor
EXT-400121,2026-05-24T19:00:00,Cyber,81.7,GlobalIntel API,Zone C
EXT-400122,2026-05-10T21:00:00,,69.6,ThreatWatch Intl,Zone I
EXT-400123,2026-06-05T14:00:00,Other,86.5,OpenCTI Mirror,Zone F
EXT-400124,2026-07-22T00:00:00,,78.3,CyberSentry Feed,Zone C
EXT-400125,2026-05-21T05:00:00,,67.0,ThreatWatch Intl,Zone A
EXT-400126,2026-07-09T09:00:00,intrusion,91.5,OpenCTI Mirror,Zone I
EXT-400127,2026-05-30T19:00:00,Environmental,80.0,CyberSentry Feed,Western Zone
EXT-400128,2026-06-02T03:00:00,Cyber,49.5,ThreatWatch Intl,Zone E
EXT-400129,2026-05-29T13:00:00,Intrusion,80.0,GlobalIntel API,Zone J
EXT-400130,2026-06-24T00:00:00,intrusion,28.9,CyberSentry Feed,
EXT-400131,2026-06-28T15:00:00,,62.0,CyberSentry Feed,Eastern Corridor
EXT-400132,2026-07-03T05:00:00,,43.2,OpenCTI Mirror,Zone B
EXT-400133,2026-06-05T10:00:00,Intrusion,77.6,CyberSentry Feed,Zone G
EXT-400134,2026-07-24T09:00:00,CYBER-related,88.7,OpenCTI Mirror,Eastern Corridor
EXT-400135,2026-06-14T05:00:00,Cyber,85.2,ThreatWatch Intl,Zone D
EXT-400136,2026-05-29T20:00:00,intrusion,38.4,ThreatWatch Intl,Zone D
EXT-400137,2026-05-23T02:00:00,Physical,80.9,ThreatWatch Intl,Zone B
EXT-400138,2026-06-18T14:00:00,intrusion,53.9,CyberSentry Feed,Zone I
EXT-400139,2026-06-28T11:00:00,CYBER-related,58.6,CyberSentry Feed,Zone F
EXT-400140,2026-06-07T05:00:00,,59.2,GlobalIntel API,Zone H
EXT-400141,2026-05-10T09:00:00,intrusion,76.6,CyberSentry Feed,Zone E
EXT-400142,2026-05-15T04:00:00,,79.3,GlobalIntel API,Zone B
EXT-400143,2026-05-24T20:00:00,Other,94.8,GlobalIntel API,
EXT-400144,2026-06-17T07:00:00,Other,63.8,GlobalIntel API,Zone D
EXT-400145,2026-06-28T18:00:00,Physical,71.5,ThreatWatch Intl,Northern District
EXT-400146,2026-07-19T13:00:00,,72.5,OpenCTI Mirror,Zone F
EXT-400147,2026-06-25T10:00:00,CYBER-related,85.0,CyberSentry Feed,Eastern Corridor
EXT-400148,2026-06-04T09:00:00,intrusion,50.1,OpenCTI Mirror,Southern Belt
EXT-400149,2026-06-24T06:00:00,Intrusion,59.3,CyberSentry Feed,Zone A
EXT-400150,2026-04-30T01:00:00,Cyber,74.0,GlobalIntel API,Zone H
EXT-400151,2026-07-04T06:00:00,intrusion,27.6,ThreatWatch Intl,Zone I
EXT-400152,2026-05-17T10:00:00,,71.7,CyberSentry Feed,Northern District
EXT-400153,2026-06-15T01:00:00,Cyber,92.4,CyberSentry Feed,Zone A
EXT-400154,2026-07-05T20:00:00,CYBER-related,56.8,ThreatWatch Intl,Zone G
EXT-400155,2026-06-18T00:00:00,Other,85.4,ThreatWatch Intl,Zone H
EXT-400156,2026-06-05T10:00:00,intrusion,61.1,CyberSentry Feed,Zone H
EXT-400157,2026-05-27T08:00:00,Cyber,85.6,GlobalIntel API,
EXT-400158,2026-05-21T23:00:00,Environmental,32.1,CyberSentry Feed,Zone I
EXT-400159,2026-05-30T19:00:00,Other,90.5,OpenCTI Mirror,Zone A
EXT-400160,2026-07-16T18:00:00,Other,77.5,GlobalIntel API,Zone F
EXT-400161,2026-07-07T11:00:00,intrusion,43.7,ThreatWatch Intl,Eastern Corridor
EXT-400162,2026-06-27T16:00:00,Other,83.4,OpenCTI Mirror,Zone C
EXT-400163,2026-05-18T20:00:00,Other,50.5,OpenCTI Mirror,Zone A
EXT-400164,2026-07-26T02:00:00,Cyber,58.8,CyberSentry Feed,Eastern Corridor
EXT-400165,2026-05-12T02:00:00,CYBER-related,68.8,CyberSentry Feed,
EXT-400166,2026-05-07T20:00:00,Intrusion,68.0,OpenCTI Mirror,Zone B
EXT-400167,2026-06-11T15:00:00,CYBER-related,93.0,CyberSentry Feed,Western Zone
EXT-400168,2026-06-16T05:00:00,intrusion,88.9,OpenCTI Mirror,
EXT-400169,2026-07-18T05:00:00,,31.1,ThreatWatch Intl,Southern Belt
EXT-400170,2026-07-15T12:00:00,Intrusion,63.2,CyberSentry Feed,Eastern Corridor
EXT-400171,2026-05-22T05:00:00,Cyber,89.2,CyberSentry Feed,Northern District
EXT-400172,2026-07-10T02:00:00,intrusion,49.9,ThreatWatch Intl,Zone B
EXT-400173,2026-06-14T07:00:00,Physical,53.6,CyberSentry Feed,Southern Belt
EXT-400174,2026-05-30T07:00:00,intrusion,57.5,GlobalIntel API,Northern District
EXT-400175,2026-07-02T22:00:00,intrusion,55.9,CyberSentry Feed,Eastern Corridor
EXT-400176,2026-06-23T12:00:00,CYBER-related,77.9,CyberSentry Feed,Southern Belt
EXT-400177,2026-07-08T09:00:00,CYBER-related,29.7,CyberSentry Feed,Zone E
EXT-400178,2026-06-27T21:00:00,Environmental,72.8,GlobalIntel API,Northern District
EXT-400179,2026-07-14T18:00:00,Intrusion,99.0,ThreatWatch Intl,Eastern Corridor
EXT-400180,2026-07-12T22:00:00,Cyber,99.0,CyberSentry Feed,Zone H
EXT-400181,2026-05-01T01:00:00,intrusion,44.5,GlobalIntel API,Western Zone
EXT-400182,2026-06-29T12:00:00,Other,54.4,GlobalIntel API,Northern District
EXT-400183,2026-07-09T02:00:00,intrusion,80.8,ThreatWatch Intl,Central Hub
EXT-400184,2026-06-27T02:00:00,CYBER-related,91.0,GlobalIntel API,Zone G
EXT-400185,2026-06-20T03:00:00,Other,56.9,CyberSentry Feed,Central Hub
EXT-400186,2026-06-28T10:00:00,CYBER-related,65.5,OpenCTI Mirror,Southern Belt
EXT-400187,2026-07-15T17:00:00,Intrusion,65.8,CyberSentry Feed,Eastern Corridor
EXT-400188,2026-06-21T20:00:00,Environmental,52.7,CyberSentry Feed,Southern Belt
EXT-400189,2026-06-18T11:00:00,intrusion,99.0,CyberSentry Feed,Zone E
EXT-400190,2026-06-17T19:00:00,Cyber,84.9,GlobalIntel API,Eastern Corridor
EXT-400191,2026-05-23T00:00:00,Cyber,57.2,OpenCTI Mirror,Southern Belt
EXT-400192,2026-07-04T14:00:00,Other,48.6,ThreatWatch Intl,Zone A
EXT-400193,2026-06-02T04:00:00,Cyber,77.2,GlobalIntel API,Zone I
EXT-400194,2026-06-14T06:00:00,Environmental,73.3,ThreatWatch Intl,Northern District
EXT-400195,2026-07-21T21:00:00,CYBER-related,75.1,CyberSentry Feed,Zone C
EXT-400196,2026-05-31T07:00:00,,59.1,GlobalIntel API,Zone I
EXT-400197,2026-04-29T14:00:00,CYBER-related,83.6,OpenCTI Mirror,Zone B
EXT-400198,2026-05-11T07:00:00,Intrusion,73.5,ThreatWatch Intl,Northern District
EXT-400199,2026-06-27T16:00:00,CYBER-related,66.1,GlobalIntel API,Central Hub
EXT-400200,2026-05-30T13:00:00,Other,99.0,CyberSentry Feed,Zone C
EXT-400201,2026-07-17T00:00:00,Environmental,56.9,ThreatWatch Intl,Southern Belt
EXT-400202,2026-05-24T04:00:00,CYBER-related,87.4,GlobalIntel API,Zone C
EXT-400203,2026-05-17T00:00:00,Physical,59.3,ThreatWatch Intl,Zone G
EXT-400204,2026-05-31T11:00:00,Physical,47.8,OpenCTI Mirror,Zone I
EXT-400205,2026-05-04T16:00:00,intrusion,81.0,CyberSentry Feed,Eastern Corridor
EXT-400206,2026-07-15T01:00:00,Cyber,92.2,OpenCTI Mirror,Zone D
EXT-400207,2026-05-14T02:00:00,Environmental,59.8,OpenCTI Mirror,
EXT-400208,2026-05-03T15:00:00,Cyber,84.6,GlobalIntel API,Zone A
EXT-400209,2026-06-26T04:00:00,Cyber,63.4,CyberSentry Feed,Central Hub
EXT-400210,2026-05-14T13:00:00,Physical,87.3,CyberSentry Feed,Zone C
EXT-400211,2026-07-02T00:00:00,intrusion,55.4,ThreatWatch Intl,Northern District
EXT-400212,2026-05-21T20:00:00,intrusion,94.1,CyberSentry Feed,Southern Belt
EXT-400213,2026-05-01T16:00:00,CYBER-related,99.0,OpenCTI Mirror,Zone F
EXT-400214,2026-05-24T03:00:00,intrusion,74.6,CyberSentry Feed,Zone D
EXT-400215,2026-06-14T00:00:00,CYBER-related,43.2,ThreatWatch Intl,Zone B
EXT-400216,2026-06-29T11:00:00,intrusion,27.8,GlobalIntel API,Northern District
EXT-400217,2026-07-23T01:00:00,,56.3,OpenCTI Mirror,Southern Belt
EXT-400218,2026-06-28T02:00:00,Intrusion,50.3,OpenCTI Mirror,Zone H
EXT-400219,2026-07-18T01:00:00,Intrusion,34.7,CyberSentry Feed,Zone G
EXT-400220,2026-06-08T16:00:00,,81.0,OpenCTI Mirror,Central Hub
EXT-400221,2026-05-20T04:00:00,intrusion,45.7,GlobalIntel API,Eastern Corridor
EXT-400222,2026-06-16T12:00:00,,85.0,CyberSentry Feed,Western Zone
EXT-400223,2026-05-05T03:00:00,Other,62.4,CyberSentry Feed,Zone D
EXT-400224,2026-07-01T23:00:00,,79.7,ThreatWatch Intl,Zone A
EXT-400225,2026-07-07T20:00:00,Other,43.0,OpenCTI Mirror,Zone A
EXT-400226,2026-06-18T16:00:00,Environmental,96.1,GlobalIntel API,Central Hub
EXT-400227,2026-06-28T22:00:00,intrusion,49.4,CyberSentry Feed,Zone D
EXT-400228,2026-05-04T21:00:00,Intrusion,45.4,GlobalIntel API,Northern District
EXT-400229,2026-07-01T04:00:00,intrusion,47.0,ThreatWatch Intl,Northern District
EXT-400230,2026-06-01T01:00:00,Other,53.8,GlobalIntel API,Zone B
EXT-400231,2026-07-22T18:00:00,CYBER-related,74.5,ThreatWatch Intl,Eastern Corridor
EXT-400232,2026-05-31T08:00:00,intrusion,89.4,ThreatWatch Intl,Zone B
EXT-400233,2026-05-03T15:00:00,Physical,67.5,GlobalIntel API,Zone E
EXT-400234,2026-07-15T21:00:00,,68.8,ThreatWatch Intl,Zone G
EXT-400235,2026-05-08T12:00:00,intrusion,59.5,OpenCTI Mirror,Zone B
EXT-400236,2026-06-06T15:00:00,CYBER-related,50.2,CyberSentry Feed,Eastern Corridor
EXT-400237,2026-06-16T18:00:00,Other,93.2,GlobalIntel API,Eastern Corridor
EXT-400238,2026-05-31T22:00:00,Other,57.9,OpenCTI Mirror,Eastern Corridor
EXT-400239,2026-06-24T22:00:00,Environmental,29.6,ThreatWatch Intl,Zone B
EXT-400240,2026-05-01T18:00:00,intrusion,61.7,CyberSentry Feed,Southern Belt
EXT-400241,2026-05-25T23:00:00,Environmental,35.0,CyberSentry Feed,Western Zone
EXT-400242,2026-06-03T05:00:00,Other,49.0,ThreatWatch Intl,Western Zone
EXT-400243,2026-07-15T21:00:00,Other,87.3,CyberSentry Feed,Zone H
EXT-400244,2026-06-18T01:00:00,Other,82.7,ThreatWatch Intl,Northern District
EXT-400245,2026-07-03T01:00:00,Environmental,30.2,ThreatWatch Intl,Zone H
EXT-400246,2026-05-31T11:00:00,intrusion,84.6,OpenCTI Mirror,Zone D
EXT-400247,2026-05-14T15:00:00,,76.5,ThreatWatch Intl,Zone I
EXT-400248,2026-05-27T23:00:00,,44.9,ThreatWatch Intl,Zone H
EXT-400249,2026-05-17T04:00:00,CYBER-related,80.8,OpenCTI Mirror,Zone A
EXT-400250,2026-07-03T08:00:00,,59.7,ThreatWatch Intl,Western Zone
EXT-400251,2026-06-28T22:00:00,Environmental,38.9,CyberSentry Feed,Southern Belt
EXT-400252,2026-05-14T00:00:00,Physical,68.9,ThreatWatch Intl,Eastern Corridor
EXT-400253,2026-06-15T11:00:00,Cyber,65.7,CyberSentry Feed,Northern District
EXT-400254,2026-07-20T06:00:00,Physical,50.2,ThreatWatch Intl,Central Hub
EXT-400255,2026-06-17T03:00:00,Physical,63.4,GlobalIntel API,Zone C
EXT-400256,2026-06-01T15:00:00,Other,29.1,CyberSentry Feed,Eastern Corridor
EXT-400257,2026-07-10T19:00:00,Intrusion,69.0,ThreatWatch Intl,Zone E
EXT-400258,2026-06-01T19:00:00,Physical,49.2,ThreatWatch Intl,Zone C
EXT-400259,2026-05-13T06:00:00,Other,59.5,ThreatWatch Intl,Western Zone
EXT-400260,2026-06-17T17:00:00,Cyber,99.0,CyberSentry Feed,Northern District
EXT-400261,2026-07-08T18:00:00,Physical,29.9,GlobalIntel API,Western Zone
EXT-400262,2026-07-23T18:00:00,Environmental,72.5,GlobalIntel API,Western Zone
EXT-400263,2026-04-29T23:00:00,intrusion,60.3,ThreatWatch Intl,Northern District
EXT-400264,2026-07-21T23:00:00,Physical,82.0,OpenCTI Mirror,Zone C
EXT-400265,2026-04-30T12:00:00,Physical,72.3,GlobalIntel API,Zone B
EXT-400266,2026-07-24T21:00:00,intrusion,47.4,GlobalIntel API,Zone J
EXT-400267,2026-07-12T12:00:00,Other,46.6,OpenCTI Mirror,Eastern Corridor
EXT-400268,2026-05-29T04:00:00,Other,71.8,GlobalIntel API,Zone D
EXT-400269,2026-07-17T08:00:00,CYBER-related,85.5,CyberSentry Feed,Zone I
EXT-400270,2026-06-11T20:00:00,CYBER-related,42.1,ThreatWatch Intl,Southern Belt
EXT-400271,2026-06-21T00:00:00,Intrusion,72.9,ThreatWatch Intl,Zone D
EXT-400272,2026-05-14T01:00:00,Intrusion,66.4,OpenCTI Mirror,Northern District
EXT-400273,2026-07-07T02:00:00,Physical,39.5,ThreatWatch Intl,Eastern Corridor
EXT-400274,2026-05-24T18:00:00,Environmental,79.3,OpenCTI Mirror,Zone D
EXT-400275,2026-06-14T12:00:00,Environmental,95.8,ThreatWatch Intl,Zone E
EXT-400276,2026-07-25T22:00:00,Intrusion,54.7,ThreatWatch Intl,Central Hub
EXT-400277,2026-07-12T04:00:00,Physical,99.0,OpenCTI Mirror,Zone D
EXT-400278,2026-04-29T21:00:00,Intrusion,94.6,OpenCTI Mirror,Northern District
EXT-400279,2026-06-25T03:00:00,CYBER-related,77.6,GlobalIntel API,Zone B
EXT-400280,2026-06-11T19:00:00,Other,39.3,CyberSentry Feed,Zone D
EXT-400281,2026-06-06T07:00:00,CYBER-related,71.0,CyberSentry Feed,Zone I
EXT-400282,2026-05-09T06:00:00,Environmental,77.1,ThreatWatch Intl,Zone F
EXT-400283,2026-05-19T21:00:00,Intrusion,52.0,OpenCTI Mirror,Zone C
EXT-400284,2026-06-10T07:00:00,Other,51.8,CyberSentry Feed,Central Hub
EXT-400285,2026-05-24T02:00:00,Other,26.2,CyberSentry Feed,Zone C
EXT-400286,2026-07-12T11:00:00,Environmental,69.7,OpenCTI Mirror,Central Hub
EXT-400287,2026-05-06T17:00:00,Intrusion,86.0,CyberSentry Feed,Western Zone
EXT-400288,2026-05-30T21:00:00,intrusion,51.6,GlobalIntel API,Eastern Corridor
EXT-400289,2026-07-03T07:00:00,Environmental,43.2,GlobalIntel API,Central Hub
EXT-400290,2026-05-30T06:00:00,Physical,77.3,GlobalIntel API,Zone G
EXT-400291,2026-06-11T21:00:00,CYBER-related,94.4,GlobalIntel API,Zone H
EXT-400292,2026-05-17T12:00:00,Physical,69.4,ThreatWatch Intl,Zone A
EXT-400293,2026-05-25T08:00:00,intrusion,98.5,GlobalIntel API,Zone C
EXT-400294,2026-05-28T19:00:00,Other,94.0,CyberSentry Feed,Zone A
EXT-400295,2026-07-17T12:00:00,Environmental,95.7,GlobalIntel API,
EXT-400296,2026-06-28T21:00:00,intrusion,54.1,GlobalIntel API,Central Hub
EXT-400297,2026-06-16T13:00:00,CYBER-related,65.9,GlobalIntel API,Western Zone
EXT-400298,2026-05-17T12:00:00,Cyber,61.7,GlobalIntel API,Zone D
EXT-400299,2026-06-30T13:00:00,,35.9,OpenCTI Mirror,Central Hub
EXT-400300,2026-07-17T23:00:00,Cyber,69.1,GlobalIntel API,Zone A
EXT-400301,2026-07-17T21:00:00,Cyber,99.0,CyberSentry Feed,Western Zone
EXT-400302,2026-06-11T11:00:00,Physical,65.6,OpenCTI Mirror,
EXT-400303,2026-07-08T10:00:00,CYBER-related,60.6,ThreatWatch Intl,Southern Belt
EXT-400304,2026-05-16T22:00:00,Physical,42.4,OpenCTI Mirror,Zone A
EXT-400305,2026-06-08T18:00:00,intrusion,76.6,GlobalIntel API,Zone G
EXT-400306,2026-06-04T05:00:00,,78.9,OpenCTI Mirror,Zone J
EXT-400307,2026-05-18T01:00:00,Cyber,73.7,GlobalIntel API,Zone A
EXT-400308,2026-06-07T15:00:00,Physical,72.4,OpenCTI Mirror,Zone H
EXT-400309,2026-06-26T05:00:00,Physical,55.8,CyberSentry Feed,
EXT-400310,2026-07-17T21:00:00,Cyber,45.0,CyberSentry Feed,Central Hub
EXT-400311,2026-06-06T03:00:00,Intrusion,56.0,ThreatWatch Intl,Zone D
EXT-400312,2026-06-13T00:00:00,Intrusion,73.5,OpenCTI Mirror,Western Zone
