response_id,dispatch_time,arrival_time,unit,zone_code,response_status,shift
OPS-200038,2026-05-03 06:25,2026-05-03 06:38,Alpha Unit,F,Under Investigation,Day
OPS-200039,2026-05-22 23:43,2026-05-22 23:52,Hotel Unit,G,Resolved,Night
OPS-200040,2026-05-26 08:41,2026-05-26 08:54,Foxtrot Unit,F,Under Investigation,Day
OPS-200041,2026-06-04 14:44,2026-06-04 14:53,Foxtrot Unit,H,Resolved,Day
OPS-200042,2026-06-29 16:59,2026-06-29 17:04,Golf Unit,C,Resolved,Day
OPS-200043,2026-07-18 11:57,2026-07-18 12:12,Foxtrot Unit,D,Under Investigation,Day
OPS-200044,2026-05-19 15:04,2026-05-19 15:20,Charlie Unit,B,Escalated,Day
OPS-200045,2026-07-25 19:27,2026-07-25 19:36,Hotel Unit,H,Resolved,Night
OPS-200046,2026-06-04 20:48,2026-06-04 20:56,Bravo Unit,C,Escalated,Night
OPS-200047,2026-06-13 11:41,2026-06-13 11:46,Charlie Unit,J,Escalated,Day
OPS-200048,2026-07-04 17:55,2026-07-04 18:05,Delta Unit,J,Under Investigation,Day
OPS-200049,2026-07-04 03:16,2026-07-04 03:23,Hotel Unit,C,Resolved,Night
OPS-200050,2026-07-18 15:16,2026-07-18 15:29,Echo Unit,F,Resolved,Day
OPS-200051,2026-06-28 18:03,2026-06-28 18:12,Hotel Unit,F,Resolved,Night
OPS-200052,2026-07-18 20:11,2026-07-18 20:14,Hotel Unit,G,Closed,Night
OPS-200053,2026-07-05 03:18,2026-07-05 03:25,Alpha Unit,C,Resolved,Night
OPS-200054,2026-05-13 17:26,2026-05-13 17:37,Hotel Unit,G,Resolved,Day
OPS-200055,2026-07-11 09:10,2026-07-11 09:16,Echo Unit,F,Resolved,Day
OPS-200056,2026-05-19 06:47,2026-05-19 07:02,Charlie Unit,J,Closed,Day
OPS-200057,2026-07-08 23:14,2026-07-08 23:21,Echo Unit,A,Resolved,Night
OPS-200058,2026-06-24 05:42,2026-06-24 05:52,Charlie Unit,I,Resolved,Night
OPS-200059,2026-07-19 01:30,2026-07-19 01:36,Alpha Unit,E,Resolved,Night
OPS-200060,2026-05-19 05:16,2026-05-19 05:28,Foxtrot Unit,B,Resolved,Night
OPS-200061,2026-07-07 22:35,2026-07-07 22:46,Charlie Unit,B,Resolved,Night
OPS-200062,2026-05-10 11:12,2026-05-10 11:20,Hotel Unit,J,Escalated,Day
OPS-200063,2026-07-26 16:13,2026-07-26 16:23,Delta Unit,H,Resolved,Day
OPS-200064,2026-06-30 03:30,2026-06-30 03:36,Charlie Unit,E,Under Investigation,Night
OPS-200065,2026-05-14 17:08,2026-05-14 17:12,Delta Unit,F,Under Investigation,Day
OPS-200066,2026-04-30 10:34,2026-04-30 10:49,Foxtrot Unit,B,Resolved,Day
OPS-200067,2026-06-16 00:02,2026-06-16 00:13,Golf Unit,B,Under Investigation,Night
OPS-200068,2026-04-30 10:40,2026-04-30 10:46,Delta Unit,E,Under Investigation,Day
OPS-200069,2026-07-21 13:38,2026-07-21 13:49,Golf Unit,D,Resolved,Day
OPS-200070,2026-06-15 18:26,2026-06-15 18:30,Delta Unit,G,Escalated,Night
OPS-200071,2026-07-13 18:01,2026-07-13 18:08,Echo Unit,C,Closed,Night
OPS-200072,2026-07-23 17:18,2026-07-23 17:26,Delta Unit,C,Closed,Day
OPS-200073,2026-07-24 13:25,2026-07-24 13:35,Delta Unit,E,Under Investigation,Day
OPS-200074,2026-06-25 06:21,2026-06-25 06:25,Foxtrot Unit,E,Resolved,Day
OPS-200075,2026-06-08 01:06,2026-06-08 01:15,Bravo Unit,B,Resolved,Night
OPS-200076,2026-07-08 15:35,2026-07-08 15:46,Golf Unit,C,Closed,Day
OPS-200077,2026-06-12 00:45,2026-06-12 00:51,Delta Unit,B,Resolved,Night
OPS-200078,2026-07-07 11:21,2026-07-07 11:41,Bravo Unit,D,Resolved,Day
OPS-200079,2026-05-26 15:06,2026-05-26 15:21,Alpha Unit,E,Under Investigation,Day
OPS-200080,2026-06-19 13:30,2026-06-19 13:43,Echo Unit,G,Resolved,Day
OPS-200081,2026-05-25 15:54,2026-05-25 16:11,Bravo Unit,D,Resolved,Day
OPS-200082,2026-06-21 01:52,2026-06-21 02:01,Alpha Unit,I,Escalated,Night
OPS-200083,2026-06-18 08:18,2026-06-18 08:29,Delta Unit,E,Closed,Day
OPS-200084,2026-07-20 09:45,2026-07-20 09:48,Foxtrot Unit,I,Under Investigation,Day
OPS-200085,2026-06-04 06:14,2026-06-04 06:19,Delta Unit,C,Closed,Day
OPS-200086,2026-05-25 16:53,2026-05-25 17:06,Echo Unit,I,Resolved,Day
OPS-200087,2026-05-17 20:35,2026-05-17 20:45,Charlie Unit,G,Resolved,Night
OPS-200088,2026-05-29 13:10,2026-05-29 13:21,Foxtrot Unit,H,Resolved,Day
OPS-200089,2026-05-16 09:55,2026-05-16 10:05,Charlie Unit,C,Resolved,Day
OPS-200090,2026-07-15 17:48,2026-07-15 17:59,Alpha Unit,H,Under Investigation,Day
OPS-200091,2026-05-22 02:56,2026-05-22 03:11,Delta Unit,C,Closed,Night
OPS-200092,2026-05-02 01:32,2026-05-02 01:46,Alpha Unit,D,Under Investigation,Night
OPS-200093,2026-06-07 04:06,2026-06-07 04:16,Foxtrot Unit,G,Resolved,Night
OPS-200094,2026-06-13 08:40,2026-06-13 08:50,Hotel Unit,J,Resolved,Day
OPS-200095,2026-05-26 14:05,2026-05-26 14:15,Delta Unit,I,Under Investigation,Day
OPS-200096,2026-05-30 14:05,2026-05-30 14:15,Golf Unit,E,Resolved,Day
OPS-200097,2026-07-24 08:14,2026-07-24 08:23,Hotel Unit,F,Resolved,Day
OPS-200098,2026-06-08 08:44,2026-06-08 08:55,Golf Unit,I,Closed,Day
OPS-200099,2026-07-17 04:34,2026-07-17 04:42,Golf Unit,F,Resolved,Night
OPS-200100,2026-05-26 15:03,2026-05-26 15:11,Charlie Unit,I,Resolved,Day
OPS-200101,2026-07-04 11:51,2026-07-04 12:02,Delta Unit,J,Resolved,Day
OPS-200102,2026-06-05 19:18,2026-06-05 19:28,Golf Unit,A,Resolved,Night
OPS-200103,2026-05-04 01:13,2026-05-04 01:22,Bravo Unit,I,Resolved,Night
OPS-200104,2026-05-23 14:12,2026-05-23 14:27,Delta Unit,H,Resolved,Day
OPS-200105,2026-07-21 13:52,2026-07-21 13:54,Alpha Unit,C,Resolved,Day
OPS-200106,2026-05-12 17:01,2026-05-12 17:08,Delta Unit,H,Resolved,Day
OPS-200107,2026-05-25 10:45,2026-05-25 10:49,Foxtrot Unit,C,Resolved,Day
OPS-200108,2026-05-31 12:09,2026-05-31 12:19,Golf Unit,J,Closed,Day
OPS-200109,2026-06-21 10:06,2026-06-21 10:12,Foxtrot Unit,J,Resolved,Day
OPS-200110,2026-05-18 08:57,2026-05-18 09:10,Golf Unit,E,Closed,Day
OPS-200111,2026-07-19 20:21,2026-07-19 20:35,Hotel Unit,C,Under Investigation,Night
OPS-200112,2026-07-18 15:18,2026-07-18 15:29,Delta Unit,H,Resolved,Day
OPS-200113,2026-06-01 03:52,2026-06-01 03:56,Delta Unit,E,Resolved,Night
OPS-200114,2026-07-12 15:47,2026-07-12 16:02,Charlie Unit,J,Closed,Day
OPS-200115,2026-07-18 08:32,2026-07-18 08:42,Bravo Unit,H,Under Investigation,Day
OPS-200116,2026-05-26 07:55,2026-05-26 07:57,Alpha Unit,B,Resolved,Day
OPS-200117,2026-07-08 17:47,2026-07-08 18:02,Charlie Unit,D,Under Investigation,Day
OPS-200118,2026-07-18 22:57,2026-07-18 23:07,Foxtrot Unit,C,Resolved,Night
OPS-200119,2026-06-08 16:09,2026-06-08 16:20,Bravo Unit,J,Escalated,Day
OPS-200120,2026-06-24 07:29,2026-06-24 07:42,Echo Unit,D,Closed,Day
OPS-200121,2026-05-27 21:31,2026-05-27 21:40,Charlie Unit,G,Resolved,Night
OPS-200122,2026-06-21 17:15,2026-06-21 17:20,Delta Unit,I,Resolved,Day
OPS-200123,2026-05-18 17:54,2026-05-18 17:56,Foxtrot Unit,B,Resolved,Day
OPS-200124,2026-05-02 10:37,2026-05-02 10:51,Echo Unit,H,Resolved,Day
OPS-200125,2026-06-11 14:56,2026-06-11 15:11,Bravo Unit,J,Under Investigation,Day
OPS-200126,2026-07-14 18:16,2026-07-14 18:23,Bravo Unit,H,Resolved,Night
OPS-200127,2026-06-16 12:45,2026-06-16 12:50,Charlie Unit,A,Resolved,Day
OPS-200128,2026-07-13 07:21,2026-07-13 07:28,Alpha Unit,B,Resolved,Day
OPS-200129,2026-06-04 18:16,2026-06-04 18:21,Bravo Unit,A,Resolved,Night
OPS-200130,2026-05-28 09:48,2026-05-28 09:57,Hotel Unit,B,Resolved,Day
OPS-200131,2026-05-08 05:12,2026-05-08 05:23,Foxtrot Unit,G,Closed,Night
OPS-200132,2026-05-31 16:18,2026-05-31 16:29,Hotel Unit,G,Under Investigation,Day
OPS-200133,2026-04-30 16:47,2026-04-30 16:49,Golf Unit,I,Closed,Day
OPS-200134,2026-07-09 13:52,2026-07-09 14:06,Alpha Unit,G,Closed,Day
OPS-200135,2026-07-26 03:42,2026-07-26 03:49,Bravo Unit,I,Under Investigation,Night
OPS-200136,2026-06-11 19:51,2026-06-11 20:04,Charlie Unit,G,Under Investigation,Night
OPS-200137,2026-07-07 06:06,2026-07-07 06:28,Foxtrot Unit,D,Escalated,Day
OPS-200138,2026-07-04 02:47,2026-07-04 02:54,Foxtrot Unit,E,Closed,Night
OPS-200139,2026-06-11 01:46,2026-06-11 01:53,Hotel Unit,E,Resolved,Night
OPS-200140,2026-06-09 17:16,2026-06-09 17:25,Foxtrot Unit,H,Resolved,Day
OPS-200141,2026-05-21 03:38,2026-05-21 03:47,Charlie Unit,B,Resolved,Night
OPS-200142,2026-07-24 01:38,2026-07-24 01:51,Alpha Unit,A,Closed,Night
OPS-200143,2026-06-08 18:45,2026-06-08 18:56,Charlie Unit,E,Escalated,Night
OPS-200144,2026-05-12 22:42,2026-05-12 22:46,Echo Unit,H,Resolved,Night
OPS-200145,2026-06-28 03:35,2026-06-28 03:45,Alpha Unit,E,Under Investigation,Night
OPS-200146,2026-06-13 09:38,2026-06-13 09:49,Echo Unit,B,Resolved,Day
OPS-200147,2026-05-13 11:42,2026-05-13 11:50,Alpha Unit,A,Closed,Day
OPS-200148,2026-07-02 08:23,2026-07-02 08:32,Delta Unit,I,Resolved,Day
OPS-200149,2026-07-01 23:21,2026-07-01 23:33,Bravo Unit,G,Under Investigation,Night
OPS-200150,2026-07-06 23:13,2026-07-06 23:23,Charlie Unit,G,Resolved,Night
OPS-200151,2026-05-17 20:17,2026-05-17 20:29,Echo Unit,J,Under Investigation,Night
OPS-200152,2026-05-17 08:47,2026-05-17 08:57,Golf Unit,J,Resolved,Day
OPS-200153,2026-05-20 22:23,2026-05-20 22:37,Bravo Unit,G,Resolved,Night
OPS-200154,2026-06-15 00:07,2026-06-15 00:16,Foxtrot Unit,C,Resolved,Night
OPS-200155,2026-05-05 02:02,2026-05-05 02:14,Alpha Unit,I,Resolved,Night
OPS-200156,2026-05-17 18:19,2026-05-17 18:29,Alpha Unit,E,Resolved,Night
OPS-200157,2026-07-13 07:01,2026-07-13 07:14,Charlie Unit,J,Resolved,Day
OPS-200158,2026-05-29 09:29,2026-05-29 09:39,Echo Unit,G,Under Investigation,Day
OPS-200159,2026-06-21 10:54,2026-06-21 11:07,Foxtrot Unit,G,Resolved,Day
OPS-200160,2026-05-07 10:57,2026-05-07 11:09,Charlie Unit,C,Resolved,Day
OPS-200161,2026-05-05 04:08,2026-05-05 04:27,Charlie Unit,D,Closed,Night
OPS-200162,2026-05-01 09:16,2026-05-01 09:35,Alpha Unit,D,Under Investigation,Day
OPS-200163,2026-07-05 17:18,2026-07-05 17:30,Echo Unit,H,Escalated,Day
OPS-200164,2026-04-29 09:40,2026-04-29 09:51,Foxtrot Unit,J,Closed,Day
OPS-200165,2026-05-18 05:04,2026-05-18 05:06,Hotel Unit,H,Resolved,Night
OPS-200166,2026-05-02 07:41,2026-05-02 07:47,Delta Unit,B,Resolved,Day
OPS-200167,2026-07-02 12:41,2026-07-02 12:54,Charlie Unit,H,Escalated,Day
OPS-200168,2026-05-08 11:17,2026-05-08 11:32,Golf Unit,G,Escalated,Day
OPS-200169,2026-06-20 19:52,2026-06-20 20:03,Hotel Unit,E,Resolved,Night
OPS-200170,2026-06-15 00:35,2026-06-15 00:41,Foxtrot Unit,B,Escalated,Night
OPS-200171,2026-05-15 21:03,2026-05-15 21:14,Golf Unit,C,Resolved,Night
OPS-200172,2026-05-13 14:14,2026-05-13 14:26,Bravo Unit,H,Resolved,Day
OPS-200173,2026-06-05 05:57,2026-06-05 06:09,Delta Unit,D,Under Investigation,Night
OPS-200174,2026-07-14 19:28,2026-07-14 19:37,Charlie Unit,J,Escalated,Night
OPS-200175,2026-06-05 21:44,2026-06-05 21:51,Foxtrot Unit,J,Closed,Night
OPS-200176,2026-06-08 01:59,2026-06-08 02:09,Delta Unit,F,Resolved,Night
OPS-200177,2026-07-20 23:23,2026-07-20 23:29,Delta Unit,E,Resolved,Night
OPS-200178,2026-06-10 09:57,2026-06-10 10:08,Bravo Unit,B,Resolved,Day
OPS-200179,2026-05-30 15:48,2026-05-30 16:06,Hotel Unit,D,Escalated,Day
OPS-200180,2026-05-08 07:53,2026-05-08 08:01,Echo Unit,J,Resolved,Day
OPS-200181,2026-06-12 04:51,2026-06-12 04:56,Foxtrot Unit,H,Resolved,Night
OPS-200182,2026-05-17 23:26,2026-05-17 23:43,Golf Unit,D,Closed,Night
OPS-200183,2026-05-07 20:20,2026-05-07 20:29,Bravo Unit,F,Resolved,Night
OPS-200184,2026-06-20 13:02,2026-06-20 13:07,Delta Unit,G,Escalated,Day
OPS-200185,2026-05-07 22:40,2026-05-07 22:47,Echo Unit,J,Resolved,Night
OPS-200186,2026-07-18 12:50,2026-07-18 13:06,Golf Unit,A,Resolved,Day
OPS-200187,2026-07-13 03:35,2026-07-13 03:43,Foxtrot Unit,G,Under Investigation,Night
OPS-200188,2026-07-05 06:01,2026-07-05 06:04,Alpha Unit,H,Resolved,Day
OPS-200189,2026-06-11 22:24,2026-06-11 22:36,Echo Unit,F,Resolved,Night
OPS-200190,2026-06-07 18:19,2026-06-07 18:25,Charlie Unit,H,Under Investigation,Night
OPS-200191,2026-05-17 15:45,2026-05-17 15:52,Bravo Unit,F,Under Investigation,Day
OPS-200192,2026-05-03 06:47,2026-05-03 06:55,Bravo Unit,I,Escalated,Day
OPS-200193,2026-05-05 14:02,2026-05-05 14:10,Golf Unit,F,Resolved,Day
OPS-200194,2026-05-07 03:34,2026-05-07 03:43,Golf Unit,B,Resolved,Night
OPS-200195,2026-07-07 02:38,2026-07-07 02:41,Echo Unit,G,Resolved,Night
OPS-200196,2026-07-08 03:41,2026-07-08 03:55,Delta Unit,E,Escalated,Night
OPS-200197,2026-05-22 22:05,2026-05-22 22:13,Golf Unit,G,Escalated,Night
OPS-200198,2026-06-14 11:53,2026-06-14 12:01,Echo Unit,F,Resolved,Day
OPS-200199,2026-05-14 04:23,2026-05-14 04:32,Bravo Unit,C,Resolved,Night
OPS-200200,2026-05-03 20:30,2026-05-03 20:45,Golf Unit,G,Resolved,Night
OPS-200201,2026-07-18 17:54,2026-07-18 17:57,Golf Unit,B,Closed,Day
OPS-200202,2026-06-23 08:52,2026-06-23 08:59,Alpha Unit,B,Resolved,Day
OPS-200203,2026-07-03 21:15,2026-07-03 21:29,Golf Unit,G,Resolved,Night
OPS-200204,2026-06-01 08:43,2026-06-01 08:51,Foxtrot Unit,F,Resolved,Day
OPS-200205,2026-07-17 07:15,2026-07-17 07:36,Alpha Unit,D,Resolved,Day
OPS-200206,2026-05-24 22:14,2026-05-24 22:19,Hotel Unit,I,Under Investigation,Night
OPS-200207,2026-05-19 11:05,2026-05-19 11:21,Alpha Unit,D,Under Investigation,Day
OPS-200208,2026-07-05 18:37,2026-07-05 18:48,Bravo Unit,G,Under Investigation,Night
OPS-200209,2026-05-06 21:42,2026-05-06 21:51,Foxtrot Unit,I,Resolved,Night
OPS-200210,2026-05-01 05:53,2026-05-01 06:03,Alpha Unit,J,Under Investigation,Night
OPS-200211,2026-07-20 16:03,2026-07-20 16:19,Foxtrot Unit,B,Under Investigation,Day
OPS-200212,2026-07-23 10:01,2026-07-23 10:11,Golf Unit,F,Resolved,Day
OPS-200213,2026-07-18 02:51,2026-07-18 03:05,Hotel Unit,H,Resolved,Night
OPS-200214,2026-05-12 09:43,2026-05-12 09:54,Alpha Unit,F,Closed,Day
OPS-200215,2026-05-05 17:36,2026-05-05 17:52,Echo Unit,I,Resolved,Day
OPS-200216,2026-07-09 19:57,2026-07-09 20:05,Alpha Unit,B,Resolved,Night
OPS-200217,2026-05-17 03:46,2026-05-17 03:56,Bravo Unit,C,Resolved,Night
OPS-200218,2026-05-31 02:13,2026-05-31 02:22,Echo Unit,G,Under Investigation,Night
OPS-200219,2026-05-08 21:44,2026-05-08 21:57,Echo Unit,J,Resolved,Night
OPS-200220,2026-07-24 19:12,2026-07-24 19:17,Foxtrot Unit,E,Resolved,Night
OPS-200221,2026-05-11 14:05,2026-05-11 14:16,Bravo Unit,F,Under Investigation,Day
OPS-200222,2026-04-30 13:18,2026-04-30 13:24,Delta Unit,C,Resolved,Day
OPS-200223,2026-07-25 02:23,2026-07-25 02:34,Golf Unit,E,Under Investigation,Night
OPS-200224,2026-05-14 03:53,2026-05-14 04:08,Golf Unit,C,Resolved,Night
OPS-200225,2026-06-19 06:55,2026-06-19 07:05,Golf Unit,E,Resolved,Day
OPS-200226,2026-05-31 09:35,2026-05-31 09:43,Echo Unit,I,Resolved,Day
OPS-200227,2026-07-24 13:30,2026-07-24 13:47,Golf Unit,J,Under Investigation,Day
OPS-200228,2026-06-09 14:12,2026-06-09 14:20,Foxtrot Unit,B,Resolved,Day
OPS-200229,2026-05-01 23:38,2026-05-01 23:47,Alpha Unit,J,Resolved,Night
OPS-200230,2026-07-26 19:30,2026-07-26 19:39,Echo Unit,A,Resolved,Night
OPS-200231,2026-06-27 16:54,2026-06-27 17:06,Delta Unit,I,Resolved,Day
OPS-200232,2026-07-12 11:21,2026-07-12 11:35,Delta Unit,D,Escalated,Day
OPS-200233,2026-05-01 17:39,2026-05-01 17:47,Foxtrot Unit,H,Under Investigation,Day
OPS-200234,2026-06-21 12:26,2026-06-21 12:37,Alpha Unit,H,Escalated,Day
OPS-200235,2026-07-18 09:34,2026-07-18 09:43,Hotel Unit,J,Resolved,Day
OPS-200236,2026-05-11 20:20,2026-05-11 20:29,Foxtrot Unit,B,Closed,Night
OPS-200237,2026-06-17 13:02,2026-06-17 13:10,Charlie Unit,J,Under Investigation,Day
OPS-200238,2026-05-06 05:12,2026-05-06 05:29,Hotel Unit,H,Resolved,Night
OPS-200239,2026-06-19 03:01,2026-06-19 03:09,Hotel Unit,J,Closed,Night
OPS-200240,2026-07-19 11:37,2026-07-19 11:44,Golf Unit,C,Escalated,Day
OPS-200241,2026-06-18 15:55,2026-06-18 16:05,Delta Unit,H,Resolved,Day
OPS-200242,2026-05-11 22:39,2026-05-11 22:46,Charlie Unit,G,Under Investigation,Night
OPS-200243,2026-07-20 18:32,2026-07-20 18:43,Golf Unit,B,Escalated,Night
OPS-200244,2026-07-22 08:29,2026-07-22 08:40,Golf Unit,H,Resolved,Day
OPS-200245,2026-05-03 01:45,2026-05-03 01:55,Bravo Unit,G,Resolved,Night
OPS-200246,2026-05-29 15:26,2026-05-29 15:36,Delta Unit,I,Resolved,Day
OPS-200247,2026-06-26 15:10,2026-06-26 15:22,Echo Unit,A,Under Investigation,Day
OPS-200248,2026-06-28 09:10,2026-06-28 09:22,Hotel Unit,B,Under Investigation,Day
OPS-200249,2026-06-28 05:01,2026-06-28 05:09,Echo Unit,F,Resolved,Night
OPS-200250,2026-06-09 05:41,2026-06-09 05:54,Golf Unit,B,Under Investigation,Night
OPS-200251,2026-07-16 03:19,2026-07-16 03:31,Golf Unit,A,Escalated,Night
OPS-200252,2026-05-21 13:21,2026-05-21 13:29,Foxtrot Unit,B,Resolved,Day
OPS-200253,2026-05-23 14:03,2026-05-23 14:10,Golf Unit,E,Resolved,Day
OPS-200254,2026-06-30 17:59,2026-06-30 18:15,Foxtrot Unit,E,Escalated,Day
OPS-200255,2026-07-10 14:33,2026-07-10 14:40,Foxtrot Unit,G,Resolved,Day
OPS-200256,2026-05-22 01:45,2026-05-22 01:53,Alpha Unit,G,Resolved,Night
OPS-200257,2026-07-04 03:23,2026-07-04 03:38,Hotel Unit,H,Resolved,Night
OPS-200258,2026-06-11 16:25,2026-06-11 16:30,Bravo Unit,E,Resolved,Day
OPS-200259,2026-05-10 05:47,2026-05-10 05:55,Bravo Unit,G,Resolved,Night
OPS-200260,2026-05-04 10:56,2026-05-04 11:00,Delta Unit,J,Resolved,Day
OPS-200261,2026-07-03 04:32,2026-07-03 04:46,Bravo Unit,B,Resolved,Night
OPS-200262,2026-06-28 09:36,2026-06-28 09:47,Hotel Unit,H,Closed,Day
OPS-200263,2026-05-22 01:21,2026-05-22 01:35,Alpha Unit,C,Resolved,Night
OPS-200264,2026-06-20 09:30,2026-06-20 09:38,Delta Unit,H,Closed,Day
OPS-200265,2026-07-18 10:35,2026-07-18 10:53,Hotel Unit,J,Resolved,Day
OPS-200266,2026-07-20 15:13,2026-07-20 15:26,Echo Unit,G,Resolved,Day
OPS-200267,2026-05-10 11:37,2026-05-10 11:54,Alpha Unit,D,Closed,Day
OPS-200268,2026-04-30 00:17,2026-04-30 00:32,Echo Unit,I,Resolved,Night
OPS-200269,2026-06-06 22:46,2026-06-06 22:56,Charlie Unit,E,Resolved,Night
OPS-200270,2026-06-26 18:59,2026-06-26 19:07,Hotel Unit,J,Resolved,Night
OPS-200271,2026-07-26 15:48,2026-07-26 16:10,Bravo Unit,D,Escalated,Day
OPS-200272,2026-05-08 21:31,2026-05-08 21:36,Bravo Unit,A,Closed,Night
OPS-200273,2026-06-10 15:27,2026-06-10 15:43,Alpha Unit,E,Closed,Day
OPS-200274,2026-06-19 03:29,2026-06-19 03:36,Delta Unit,I,Escalated,Night
OPS-200275,2026-06-05 13:38,2026-06-05 13:51,Hotel Unit,H,Resolved,Day
OPS-200276,2026-05-13 16:14,2026-05-13 16:39,Delta Unit,D,Resolved,Day
OPS-200277,2026-04-29 18:11,2026-04-29 18:21,Foxtrot Unit,A,Resolved,Night
OPS-200278,2026-06-30 14:27,2026-06-30 14:51,Foxtrot Unit,D,Under Investigation,Day
OPS-200279,2026-06-22 03:44,2026-06-22 03:59,Echo Unit,E,Closed,Night
OPS-200280,2026-07-02 22:40,2026-07-02 22:58,Delta Unit,C,Closed,Night
OPS-200281,2026-05-08 11:34,2026-05-08 11:44,Alpha Unit,J,Under Investigation,Day
OPS-200282,2026-06-02 16:41,2026-06-02 16:56,Foxtrot Unit,D,Escalated,Day
OPS-200283,2026-07-10 19:45,2026-07-10 19:50,Delta Unit,I,Under Investigation,Night
OPS-200284,2026-06-09 02:25,2026-06-09 02:34,Foxtrot Unit,G,Resolved,Night
OPS-200285,2026-07-07 16:20,2026-07-07 16:35,Bravo Unit,F,Under Investigation,Day
OPS-200286,2026-07-16 10:18,2026-07-16 10:28,Delta Unit,I,Closed,Day
OPS-200287,2026-07-09 01:47,2026-07-09 01:55,Bravo Unit,H,Resolved,Night
OPS-200288,2026-05-01 09:33,2026-05-01 09:38,Charlie Unit,E,Resolved,Day
OPS-200289,2026-06-01 23:49,2026-06-01 23:59,Delta Unit,A,Resolved,Night
OPS-200290,2026-07-06 08:41,2026-07-06 08:53,Hotel Unit,B,Escalated,Day
OPS-200291,2026-06-05 14:36,2026-06-05 14:42,Hotel Unit,C,Resolved,Day
OPS-200292,2026-06-03 04:48,2026-06-03 04:57,Foxtrot Unit,H,Resolved,Night
OPS-200293,2026-06-21 04:51,2026-06-21 04:58,Delta Unit,J,Closed,Night
OPS-200294,2026-05-07 16:18,2026-05-07 16:27,Golf Unit,G,Resolved,Day
