reading_id,reading_time,zone_code,temperature_c,humidity_pct,risk_factor_code,anomaly_flag
ENV-300070,2026-06-15 16:00,C,26.5,57.9,EF-08,False
ENV-300071,2026-06-18 05:00,H,27.3,24.8,EF-07,False
ENV-300072,2026-05-08 06:00,F,23.3,38.3,EF-03,False
ENV-300073,2026-06-21 11:00,G,27.1,51.5,EF-05,False
ENV-300074,2026-07-09 11:00,A,27.7,30.8,EF-05,False
ENV-300075,2026-06-02 09:00,A,22.4,86.3,EF-06,False
ENV-300076,2026-06-04 21:00,G,25.0,48.8,EF-08,False
ENV-300077,2026-07-08 05:00,A,15.9,73.4,EF-07,False
ENV-300078,2026-05-02 11:00,I,39.5,40.0,EF-04,False
ENV-300079,2026-06-21 15:00,E,25.9,60.8,EF-04,False
ENV-300080,2026-07-11 23:00,I,26.5,63.6,EF-02,False
ENV-300081,2026-05-28 22:00,H,27.3,82.8,EF-07,False
ENV-300082,2026-06-09 10:00,J,20.8,43.9,EF-05,False
ENV-300083,2026-05-28 21:00,J,30.1,37.8,EF-01,False
ENV-300084,2026-05-23 00:00,I,22.6,58.5,EF-04,False
ENV-300085,2026-07-01 10:00,G,19.3,63.1,EF-08,False
ENV-300086,2026-05-29 06:00,I,33.4,64.5,EF-03,False
ENV-300087,2026-05-19 20:00,F,32.5,45.8,EF-01,False
ENV-300088,2026-06-30 15:00,F,28.5,61.2,EF-04,False
ENV-300089,2026-06-06 11:00,B,41.1,75.8,EF-04,False
ENV-300090,2026-07-13 05:00,J,27.7,56.8,EF-07,False
ENV-300091,2026-05-22 01:00,F,21.0,68.4,EF-01,False
ENV-300092,2026-05-05 14:00,E,32.0,61.6,EF-05,False
ENV-300093,2026-07-03 00:00,J,26.9,45.5,EF-04,False
ENV-300094,2026-05-29 10:00,J,26.8,55.3,EF-01,False
ENV-300095,2026-06-12 18:00,G,28.2,48.3,EF-05,False
ENV-300096,2026-05-06 12:00,F,26.4,49.4,EF-03,False
ENV-300097,2026-06-10 17:00,I,31.7,42.0,EF-04,False
ENV-300098,2026-05-10 17:00,A,25.9,45.1,EF-04,False
ENV-300099,2026-06-09 23:00,D,27.7,54.2,EF-08,False
ENV-300100,2026-07-02 20:00,F,28.4,54.1,EF-05,False
ENV-300101,2026-06-13 10:00,C,28.9,32.5,EF-04,False
ENV-300102,2026-06-14 08:00,I,19.7,73.8,EF-06,False
ENV-300103,2026-05-26 01:00,C,30.6,80.3,EF-03,False
ENV-300104,2026-07-13 02:00,D,30.2,56.3,EF-06,False
ENV-300105,2026-05-16 17:00,F,32.3,52.3,EF-02,False
ENV-300106,2026-06-15 03:00,F,16.6,47.2,EF-05,False
ENV-300107,2026-07-11 20:00,E,21.0,36.4,EF-08,False
ENV-300108,2026-06-04 00:00,D,21.0,79.8,EF-05,False
ENV-300109,2026-07-03 14:00,G,33.8,49.3,EF-04,False
ENV-300110,2026-07-01 20:00,H,23.2,60.6,EF-03,False
ENV-300111,2026-05-27 09:00,H,17.7,61.8,EF-02,False
ENV-300112,2026-04-30 02:00,C,26.8,35.9,EF-08,False
ENV-300113,2026-04-29 14:00,J,28.1,88.5,EF-06,False
ENV-300114,2026-07-20 09:00,G,26.5,11.9,EF-07,False
ENV-300115,2026-05-18 04:00,E,26.0,73.4,EF-04,False
ENV-300116,2026-07-13 08:00,F,25.8,69.4,EF-02,False
ENV-300117,2026-05-29 03:00,H,30.1,55.2,EF-02,False
ENV-300118,2026-07-17 01:00,G,35.5,54.3,EF-07,True
ENV-300119,2026-05-08 18:00,B,23.9,57.7,EF-07,False
ENV-300120,2026-07-21 10:00,C,22.0,41.3,EF-01,False
ENV-300121,2026-06-20 10:00,B,30.1,64.4,EF-05,False
ENV-300122,2026-06-07 05:00,D,31.9,44.2,EF-06,False
ENV-300123,2026-05-01 10:00,J,21.1,52.5,EF-04,False
ENV-300124,2026-05-16 04:00,D,30.1,82.8,EF-04,False
ENV-300125,2026-05-14 13:00,E,27.9,35.7,EF-05,False
ENV-300126,2026-05-26 08:00,A,36.1,44.0,EF-06,False
ENV-300127,2026-06-02 11:00,I,28.1,29.9,EF-03,False
ENV-300128,2026-05-27 00:00,C,28.2,95.0,EF-07,False
ENV-300129,2026-07-17 15:00,C,27.2,72.3,EF-07,True
ENV-300130,2026-06-28 16:00,C,29.0,36.8,EF-08,False
ENV-300131,2026-05-06 09:00,A,22.9,47.0,EF-02,False
ENV-300132,2026-06-26 10:00,J,25.5,44.7,EF-06,False
ENV-300133,2026-07-05 00:00,F,33.8,65.5,EF-05,False
ENV-300134,2026-07-26 07:00,B,23.9,46.3,EF-03,False
ENV-300135,2026-07-03 19:00,E,29.6,84.9,EF-05,False
ENV-300136,2026-07-13 11:00,E,17.5,21.8,EF-06,False
ENV-300137,2026-05-05 11:00,B,24.2,26.8,EF-08,False
ENV-300138,2026-05-24 21:00,I,23.3,57.4,EF-04,False
ENV-300139,2026-07-24 18:00,J,26.8,66.5,EF-06,False
ENV-300140,2026-06-10 04:00,G,25.5,61.1,EF-04,False
ENV-300141,2026-04-29 22:00,G,25.3,60.7,EF-07,False
ENV-300142,2026-06-18 15:00,C,35.5,71.6,EF-06,False
ENV-300143,2026-06-11 14:00,D,23.6,42.9,EF-05,False
ENV-300144,2026-05-31 20:00,C,18.6,65.0,EF-01,False
ENV-300145,2026-07-21 17:00,B,20.0,67.8,EF-03,False
ENV-300146,2026-06-18 02:00,C,20.8,40.7,EF-07,False
ENV-300147,2026-07-10 20:00,G,32.6,59.0,EF-07,False
ENV-300148,2026-05-31 17:00,G,28.2,67.2,EF-05,False
ENV-300149,2026-06-24 06:00,E,27.8,62.1,EF-01,False
ENV-300150,2026-05-31 22:00,D,31.6,38.3,EF-08,False
ENV-300151,2026-05-04 05:00,G,27.9,62.1,EF-04,False
ENV-300152,2026-07-05 11:00,H,21.7,56.6,EF-08,False
ENV-300153,2026-06-16 03:00,H,28.7,47.6,EF-06,False
ENV-300154,2026-07-20 12:00,E,34.8,61.5,EF-05,False
ENV-300155,2026-06-01 05:00,J,35.6,87.4,EF-05,False
ENV-300156,2026-05-14 13:00,A,28.6,79.6,EF-08,False
ENV-300157,2026-07-10 05:00,E,18.2,76.4,EF-08,False
ENV-300158,2026-07-06 12:00,D,29.2,59.6,EF-02,False
ENV-300159,2026-06-16 22:00,H,16.7,60.3,EF-04,False
ENV-300160,2026-06-23 00:00,F,24.0,75.3,EF-08,False
ENV-300161,2026-06-22 23:00,A,30.5,77.7,EF-04,False
ENV-300162,2026-05-26 13:00,I,21.7,61.1,EF-08,False
ENV-300163,2026-07-19 22:00,G,26.8,51.4,EF-05,False
ENV-300164,2026-06-26 01:00,E,24.0,42.5,EF-02,False
ENV-300165,2026-07-23 04:00,C,29.1,45.6,EF-04,False
ENV-300166,2026-07-05 14:00,B,21.3,57.4,EF-04,False
ENV-300167,2026-06-09 17:00,J,20.8,50.8,EF-02,False
ENV-300168,2026-05-27 16:00,J,20.2,24.5,EF-05,False
ENV-300169,2026-05-31 11:00,C,26.1,56.2,EF-03,False
ENV-300170,2026-05-24 11:00,E,29.2,44.8,EF-07,False
ENV-300171,2026-05-15 03:00,C,25.0,54.0,EF-07,False
ENV-300172,2026-05-19 21:00,G,25.8,68.7,EF-08,False
ENV-300173,2026-06-29 06:00,A,30.4,58.8,EF-01,False
ENV-300174,2026-07-05 07:00,I,22.3,65.3,EF-06,False
ENV-300175,2026-05-13 13:00,A,38.5,68.1,EF-06,False
ENV-300176,2026-06-18 01:00,I,31.4,76.3,EF-04,False
ENV-300177,2026-06-24 07:00,H,20.1,70.4,EF-06,False
ENV-300178,2026-06-20 10:00,D,18.4,46.5,EF-02,False
ENV-300179,2026-07-02 05:00,G,24.1,44.6,EF-04,False
ENV-300180,2026-07-22 02:00,G,23.9,43.6,EF-08,False
ENV-300181,2026-06-13 21:00,J,22.9,29.5,EF-05,False
ENV-300182,2026-07-03 10:00,H,21.5,70.0,EF-08,False
ENV-300183,2026-05-08 20:00,G,24.7,84.4,EF-01,False
ENV-300184,2026-06-05 02:00,E,21.8,37.9,EF-04,False
ENV-300185,2026-07-19 16:00,J,33.7,57.3,EF-03,False
ENV-300186,2026-06-14 05:00,C,24.7,63.1,EF-01,False
ENV-300187,2026-05-08 04:00,G,23.4,62.9,EF-05,False
ENV-300188,2026-05-14 18:00,D,28.3,66.9,EF-07,False
ENV-300189,2026-05-23 15:00,G,33.0,39.1,EF-04,False
ENV-300190,2026-07-10 07:00,B,25.2,59.3,EF-04,False
ENV-300191,2026-07-05 03:00,E,22.3,37.8,EF-07,False
ENV-300192,2026-05-09 03:00,B,26.6,31.3,EF-07,False
ENV-300193,2026-05-01 03:00,B,21.2,41.3,EF-05,False
ENV-300194,2026-06-05 05:00,D,26.2,71.6,EF-02,False
ENV-300195,2026-05-20 15:00,J,26.8,54.3,EF-01,False
ENV-300196,2026-05-18 06:00,A,24.7,86.2,EF-04,False
ENV-300197,2026-07-19 22:00,A,21.3,58.6,EF-08,False
ENV-300198,2026-06-07 12:00,J,27.0,45.2,EF-07,False
ENV-300199,2026-07-15 12:00,A,14.3,31.5,EF-05,False
ENV-300200,2026-05-11 23:00,G,36.4,62.6,EF-01,False
ENV-300201,2026-05-09 23:00,D,28.6,42.4,EF-05,False
ENV-300202,2026-06-07 14:00,E,23.2,26.0,EF-05,False
ENV-300203,2026-05-02 14:00,I,33.4,80.3,EF-07,False
ENV-300204,2026-05-10 18:00,C,32.6,58.3,EF-07,False
ENV-300205,2026-05-12 03:00,F,30.4,52.3,EF-07,False
ENV-300206,2026-05-02 12:00,G,31.8,65.6,EF-02,False
ENV-300207,2026-06-19 16:00,I,27.9,48.9,EF-02,False
ENV-300208,2026-06-16 18:00,C,22.9,59.5,EF-01,False
ENV-300209,2026-05-05 03:00,H,38.0,52.5,EF-03,False
ENV-300210,2026-07-18 18:00,C,24.7,65.5,EF-07,False
ENV-300211,2026-06-20 17:00,F,29.6,95.0,EF-04,False
ENV-300212,2026-07-08 17:00,J,29.9,55.2,EF-07,False
ENV-300213,2026-05-19 19:00,J,25.9,51.1,EF-02,False
ENV-300214,2026-06-01 03:00,J,28.2,49.6,EF-02,False
ENV-300215,2026-07-14 05:00,F,21.7,46.1,EF-04,False
ENV-300216,2026-05-07 01:00,F,31.4,51.9,EF-03,False
ENV-300217,2026-06-09 01:00,A,25.5,54.3,EF-05,False
ENV-300218,2026-05-08 09:00,H,21.5,63.7,EF-03,False
ENV-300219,2026-06-07 12:00,F,20.4,37.9,EF-06,False
ENV-300220,2026-06-21 23:00,J,32.5,53.5,EF-01,False
ENV-300221,2026-07-23 02:00,F,21.7,53.3,EF-07,False
ENV-300222,2026-07-14 12:00,D,24.2,44.9,EF-01,False
ENV-300223,2026-05-16 06:00,C,32.7,71.8,EF-08,False
ENV-300224,2026-06-05 11:00,G,31.2,61.5,EF-06,False
ENV-300225,2026-05-06 13:00,B,27.9,42.8,EF-03,False
ENV-300226,2026-07-08 22:00,A,29.8,48.8,EF-04,False
ENV-300227,2026-07-08 13:00,J,26.3,67.7,EF-04,False
ENV-300228,2026-06-20 01:00,I,30.9,48.4,EF-01,False
ENV-300229,2026-07-10 10:00,B,25.3,30.4,EF-05,False
ENV-300230,2026-07-23 14:00,C,27.6,84.8,EF-03,False
ENV-300231,2026-07-21 13:00,A,27.8,62.5,EF-07,False
ENV-300232,2026-04-30 18:00,F,29.6,48.1,EF-05,False
ENV-300233,2026-05-27 00:00,G,27.5,58.6,EF-06,False
ENV-300234,2026-06-21 06:00,A,27.0,28.5,EF-02,False
ENV-300235,2026-06-20 04:00,C,11.5,38.7,EF-03,False
ENV-300236,2026-07-23 03:00,A,29.2,69.9,EF-02,False
ENV-300237,2026-05-06 22:00,H,26.5,68.0,EF-05,False
ENV-300238,2026-06-26 22:00,I,27.5,30.1,EF-08,False
ENV-300239,2026-07-27 20:00,J,32.2,42.8,EF-08,False
ENV-300240,2026-06-09 11:00,E,32.8,60.2,EF-03,False
ENV-300241,2026-05-24 14:00,C,37.2,67.6,EF-05,False
ENV-300242,2026-05-28 10:00,B,32.6,33.6,EF-03,False
ENV-300243,2026-05-03 12:00,I,33.5,46.7,EF-07,False
ENV-300244,2026-07-06 10:00,F,10.9,71.0,EF-06,False
ENV-300245,2026-06-11 12:00,D,30.3,47.7,EF-02,False
ENV-300246,2026-06-29 01:00,E,30.8,40.6,EF-02,False
ENV-300247,2026-05-22 22:00,C,28.5,52.3,EF-03,False
ENV-300248,2026-05-08 07:00,F,28.2,36.7,EF-05,False
ENV-300249,2026-06-16 09:00,A,17.2,55.1,EF-03,False
ENV-300250,2026-04-29 07:00,H,25.9,58.8,EF-02,False
ENV-300251,2026-05-13 22:00,J,27.1,48.2,EF-04,False
ENV-300252,2026-05-05 14:00,C,27.5,43.7,EF-06,False
ENV-300253,2026-06-14 02:00,J,31.0,28.2,EF-01,False
ENV-300254,2026-06-13 02:00,B,24.0,71.8,EF-01,False
ENV-300255,2026-07-02 02:00,J,22.7,54.6,EF-08,False
ENV-300256,2026-06-29 21:00,A,29.1,44.4,EF-02,False
ENV-300257,2026-05-05 07:00,C,23.7,33.6,EF-05,False
ENV-300258,2026-05-30 07:00,E,28.0,54.1,EF-01,False
ENV-300259,2026-06-02 00:00,I,26.8,53.4,EF-07,False
ENV-300260,2026-07-11 01:00,A,23.7,45.3,EF-03,False
ENV-300261,2026-06-04 07:00,A,27.3,58.4,EF-08,False
ENV-300262,2026-07-18 22:00,D,22.1,67.5,EF-03,False
ENV-300263,2026-07-05 02:00,J,25.7,72.7,EF-05,False
ENV-300264,2026-04-29 19:00,A,26.5,46.3,EF-07,False
ENV-300265,2026-05-26 22:00,B,33.3,44.8,EF-02,False
ENV-300266,2026-05-28 09:00,I,28.9,72.5,EF-03,False
ENV-300267,2026-05-24 05:00,I,20.9,51.1,EF-01,False
ENV-300268,2026-07-05 21:00,B,24.4,49.0,EF-08,False
ENV-300269,2026-07-14 13:00,C,30.3,40.1,EF-01,False
ENV-300270,2026-06-01 08:00,I,31.0,64.4,EF-05,False
ENV-300271,2026-05-21 11:00,J,24.2,87.4,EF-05,False
ENV-300272,2026-06-05 11:00,E,26.1,40.9,EF-02,False
ENV-300273,2026-06-16 08:00,J,28.4,62.4,EF-03,False
ENV-300274,2026-07-19 19:00,F,27.2,64.2,EF-05,False
ENV-300275,2026-07-09 01:00,F,31.2,23.6,EF-03,False
ENV-300276,2026-07-08 00:00,E,20.7,21.3,EF-02,False
ENV-300277,2026-05-13 22:00,C,22.1,70.6,EF-03,False
ENV-300278,2026-05-12 09:00,A,30.9,33.2,EF-04,False
ENV-300279,2026-07-20 04:00,A,33.7,66.9,EF-03,False
ENV-300280,2026-06-15 08:00,A,43.2,41.6,EF-03,False
ENV-300281,2026-06-15 03:00,C,29.6,73.2,EF-06,False
ENV-300282,2026-06-27 01:00,H,24.7,46.4,EF-01,False
ENV-300283,2026-07-07 18:00,J,21.1,58.3,EF-08,False
ENV-300284,2026-07-17 20:00,E,22.4,54.6,EF-05,False
ENV-300285,2026-06-07 22:00,G,33.1,68.3,EF-03,False
ENV-300286,2026-06-29 13:00,I,22.6,41.7,EF-05,False
ENV-300287,2026-07-07 12:00,D,22.1,48.3,EF-07,False
ENV-300288,2026-05-11 14:00,G,17.2,50.6,EF-08,False
ENV-300289,2026-06-10 09:00,B,37.8,68.9,EF-06,False
ENV-300290,2026-05-19 19:00,A,30.8,58.6,EF-04,False
ENV-300291,2026-05-15 21:00,J,28.0,25.4,EF-08,False
ENV-300292,2026-04-30 22:00,I,34.4,23.0,EF-04,False
ENV-300293,2026-07-02 00:00,E,23.8,50.6,EF-06,False
ENV-300294,2026-05-20 08:00,C,22.7,63.2,EF-02,False
ENV-300295,2026-07-14 09:00,F,19.5,52.9,EF-03,False
ENV-300296,2026-06-05 16:00,D,16.7,40.6,EF-04,False
ENV-300297,2026-06-22 18:00,C,22.4,52.7,EF-05,False
ENV-300298,2026-05-20 13:00,H,25.6,54.9,EF-07,False
ENV-300299,2026-06-08 04:00,C,24.8,72.3,EF-04,False
ENV-300300,2026-05-27 16:00,D,24.4,70.9,EF-01,False
ENV-300301,2026-06-25 14:00,F,24.3,30.7,EF-06,False
ENV-300302,2026-05-17 15:00,F,27.0,77.8,EF-04,False
ENV-300303,2026-07-02 08:00,G,27.5,52.6,EF-08,False
ENV-300304,2026-06-02 04:00,D,35.6,43.3,EF-06,False
ENV-300305,2026-07-15 03:00,H,31.6,81.7,EF-07,False
ENV-300306,2026-07-22 16:00,D,27.2,63.3,EF-05,False
ENV-300307,2026-07-14 06:00,B,35.7,69.9,EF-07,False
ENV-300308,2026-05-25 10:00,B,36.1,34.2,EF-05,False
ENV-300309,2026-06-19 17:00,C,24.9,42.8,EF-04,False
ENV-300310,2026-06-17 10:00,I,32.9,58.2,EF-07,False
ENV-300311,2026-05-15 14:00,I,23.1,68.6,EF-05,False
ENV-300312,2026-05-01 20:00,C,27.0,61.6,EF-05,False
ENV-300313,2026-06-25 19:00,E,21.2,62.0,EF-02,False
ENV-300314,2026-07-16 05:00,J,21.6,52.9,EF-06,False
ENV-300315,2026-05-02 07:00,A,19.0,53.9,EF-06,False
ENV-300316,2026-05-18 18:00,B,37.3,56.4,EF-08,False
ENV-300317,2026-06-10 18:00,D,28.0,36.0,EF-02,False
ENV-300318,2026-06-05 06:00,G,28.0,71.5,EF-07,False
ENV-300319,2026-06-17 08:00,F,26.5,56.4,EF-02,False
ENV-300320,2026-06-12 04:00,A,32.9,62.6,EF-06,False
ENV-300321,2026-05-15 20:00,I,30.3,35.2,EF-03,False
ENV-300322,2026-05-20 18:00,G,21.4,64.6,EF-08,False
ENV-300323,2026-07-03 01:00,A,34.3,59.0,EF-07,False
ENV-300324,2026-05-07 19:00,B,18.6,70.6,EF-06,False
ENV-300325,2026-06-04 02:00,G,26.4,54.6,EF-07,False
ENV-300326,2026-05-10 00:00,I,36.0,66.4,EF-05,False
ENV-300327,2026-06-19 23:00,G,30.3,65.8,EF-02,False
ENV-300328,2026-06-03 08:00,D,23.3,71.2,EF-01,False
ENV-300329,2026-05-30 18:00,I,30.8,46.4,EF-03,False
ENV-300330,2026-06-06 15:00,B,29.4,43.5,EF-04,False
ENV-300331,2026-05-16 16:00,E,16.1,53.3,EF-04,False
ENV-300332,2026-05-31 23:00,H,31.8,59.5,EF-05,False
ENV-300333,2026-07-12 07:00,C,21.8,33.5,EF-06,False
ENV-300334,2026-07-11 20:00,A,18.5,48.2,EF-02,False
ENV-300335,2026-06-17 15:00,D,32.7,45.1,EF-03,False
ENV-300336,2026-06-22 13:00,G,22.7,61.2,EF-04,False
ENV-300337,2026-05-01 21:00,D,25.2,70.4,EF-07,False
ENV-300338,2026-07-27 08:00,J,32.6,36.1,EF-01,False
ENV-300339,2026-05-14 19:00,H,32.3,45.8,EF-01,False
ENV-300340,2026-07-23 03:00,E,26.8,70.9,EF-03,False
ENV-300341,2026-06-13 04:00,I,23.5,62.4,EF-06,False
ENV-300342,2026-05-02 11:00,D,31.9,42.0,EF-08,False
ENV-300343,2026-05-05 18:00,D,26.8,52.1,EF-08,False
ENV-300344,2026-07-02 00:00,C,31.1,66.7,EF-03,False
ENV-300345,2026-06-13 20:00,F,32.7,48.7,EF-08,False
ENV-300346,2026-05-04 15:00,D,28.5,51.4,EF-05,False
ENV-300347,2026-07-19 16:00,J,26.5,51.7,EF-03,False
ENV-300348,2026-06-14 10:00,G,25.3,74.6,EF-06,False
ENV-300349,2026-07-04 06:00,B,32.9,25.3,EF-06,False
ENV-300350,2026-06-23 03:00,F,28.6,30.0,EF-03,False
ENV-300351,2026-04-29 17:00,I,23.2,65.9,EF-07,False
ENV-300352,2026-06-28 01:00,D,27.2,65.1,EF-04,False
ENV-300353,2026-05-25 16:00,G,29.5,68.9,EF-05,False
ENV-300354,2026-06-30 07:00,C,26.2,79.0,EF-08,False
ENV-300355,2026-05-26 16:00,G,30.5,55.1,EF-01,False
ENV-300356,2026-07-25 06:00,A,32.0,50.2,EF-06,False
ENV-300357,2026-05-31 20:00,F,23.5,74.9,EF-02,False
ENV-300358,2026-05-24 00:00,J,31.1,41.8,EF-05,False
ENV-300359,2026-05-09 08:00,I,27.8,69.7,EF-06,False
ENV-300360,2026-05-31 03:00,B,21.1,51.4,EF-07,False
ENV-300361,2026-06-24 12:00,A,19.5,30.1,EF-01,False
ENV-300362,2026-05-10 20:00,C,26.2,62.4,EF-01,False
ENV-300363,2026-06-06 14:00,D,28.1,46.9,EF-01,False
ENV-300364,2026-05-27 08:00,E,34.7,55.6,EF-04,False
ENV-300365,2026-06-01 08:00,G,32.5,61.2,EF-05,False
ENV-300366,2026-05-30 06:00,H,25.8,22.9,EF-08,False
ENV-300367,2026-05-13 06:00,E,29.9,78.4,EF-03,False
ENV-300368,2026-07-17 21:00,B,23.4,47.2,EF-07,True
ENV-300369,2026-06-20 14:00,C,28.6,28.9,EF-04,False
ENV-300370,2026-07-03 01:00,F,26.6,51.5,EF-05,False
ENV-300371,2026-05-12 11:00,E,21.4,36.2,EF-01,False
ENV-300372,2026-06-16 12:00,C,20.6,65.7,EF-07,False
ENV-300373,2026-06-25 23:00,I,33.5,31.7,EF-04,False
ENV-300374,2026-05-07 03:00,D,21.7,66.9,EF-01,False
ENV-300375,2026-05-23 23:00,J,21.8,62.1,EF-08,False
ENV-300376,2026-05-26 18:00,I,26.0,43.4,EF-03,False
ENV-300377,2026-06-22 02:00,J,30.5,79.4,EF-03,False
ENV-300378,2026-04-30 12:00,C,22.0,43.9,EF-01,False
ENV-300379,2026-05-23 22:00,G,30.9,58.7,EF-01,False
ENV-300380,2026-06-29 09:00,D,23.4,75.6,EF-07,False
ENV-300381,2026-07-14 06:00,I,22.6,30.3,EF-07,False
ENV-300382,2026-06-08 11:00,A,27.7,49.7,EF-07,False
ENV-300383,2026-06-18 18:00,B,21.6,37.4,EF-07,False
ENV-300384,2026-05-12 19:00,C,35.5,56.3,EF-05,False
ENV-300385,2026-05-14 13:00,F,31.0,46.2,EF-01,False
ENV-300386,2026-07-01 14:00,B,26.0,93.5,EF-01,False
ENV-300387,2026-07-20 23:00,G,30.5,52.5,EF-03,False
ENV-300388,2026-07-11 00:00,I,26.3,44.3,EF-01,False
ENV-300389,2026-05-09 01:00,B,29.6,58.0,EF-05,False
ENV-300390,2026-06-04 19:00,H,28.3,42.4,EF-06,False
ENV-300391,2026-06-15 14:00,G,24.6,64.3,EF-01,False
ENV-300392,2026-06-08 07:00,D,22.4,50.3,EF-07,False
ENV-300393,2026-06-18 10:00,F,29.6,54.5,EF-05,False
ENV-300394,2026-05-03 01:00,H,23.5,40.1,EF-04,False
ENV-300395,2026-06-09 19:00,F,32.3,39.9,EF-07,False
ENV-300396,2026-05-31 13:00,H,28.5,56.0,EF-08,False
